"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","","A","СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО","В данную секцию входит использование растительных и животных природных ресурсов, включая выращивание зерновых, содержание и разведение животных, получение древесины и других растений, животных или продуктов животного происхождения на ферме или в естественной среде обитания.","","","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"3","20.6","","203","Производство искусственных волокон","","","","","",""
"4","20.60","","2030","Производство искусственных волокон","Этот класс включает:
- производство синтетических или искусственных ниток
- производство синтетических или искусственных волокон, не расчесанных, комбинированных или не подготовленных для скручивания
- производство синтетической или искусственной пряжи, включая высокопрочную пряжу
- производство синтетических или искусственных лент","","Этот класс исключает:
- скручивание синтетических или искусственных ниток, см. 13.10
- производство искусственной штапельной пряжи, см. 13.10","This class includes:
- manufacture of synthetic or artificial filament tow
- manufacture of synthetic or artificial staple fibres, not carded, combed or otherwise processed for spinning
- manufacture of synthetic or artificial filament yarn, including high-tenacity yarn
- manufacture of synthetic or artificial monofilament or strip","","This class excludes:
- spinning of synthetic or artificial fibres, see 13.10
- manufacture of yarns made of man-made staple, see 13.10"
"2","21","","21","Производство основных фармацевтических продуктов и препаратов","Данный раздел включает производство основных фармацевтических продуктов и фармацевтических препаратов.","Данный раздел включает также производство медицинских и растительных препаратов.","","This division includes the manufacture of basic pharmaceutical products and pharmaceutical preparations.","This also includes the manufacture of medicinal chemical and botanical products.",""
"3","21.1","","210","Производство основных фармацевтических продуктов","","","","","",""
"4","21.10","","2100","Производство основных фармацевтических продуктов","Этот класс включает:
- производство медицинских фармакологических препаратов, используемых для производства медикаментов: антибиотиков, основных витаминов, салициловой и O-ацетилсалициловой кислот и т.д.
- переработку крови","Этот класс также включает:
- производство химически чистого сахара
- переработку желез и производство экстрактов из желез и т.д.","","This class includes:
- manufacture of medicinal active substances to be used for their pharmacological properties in the manufacture of medicaments: antibiotics, basic vitamins, salicylic and O-acetylsalicylic acids etc.
- processing of blood","This class also includes:
- manufacture of chemically pure sugars
- processing of glands and manufacture of extracts of glands etc.",""
"3","21.2","","210","Производство фармацевтических препаратов","","","","","",""
"4","21.20","","2100","Производство фармацевтических препаратов","Этот класс включает:
- производство медикаментов:
  • иммунной сыворотки и т.д.
  • вакцин
  • различных медикаментов, включая гомеопатические препараты
- производство химической контрацептивной продукции для наружного применения и гормональных контрацептивов
- производство медицинских диагностических препаратов, включая тесты на беременность
- производство диагностических препаратов для выявления радиоактивных веществ
- производство биологических фармацевтических препаратов","Этот класс также включает:
- производство медицинских перевязочных материалов, таких как вата, марля, марлевые повязки, бандажи и т.д.
- подготовку растительных продуктов (измельчение, сортировка, толчение) для изготовления фармацевтических  препаратов","Этот класс исключает:
- производство травяных настоев (мяты, вербены, ромашки и т.д.), см. 10.83
- производство стоматологических наполнителей и цемента для зубоврачебных целей и протезирования зубов, см. 32.50
- производство цемента для восстановления костей, см. 32.50
- производство хирургической ткани, см. 32.50
- оптовую торговлю фармацевтическими препаратами, см. 46.46
- розничную торговлю фармацевтическими препаратами, см. 47.73
- исследование и разработку фармацевтических и растительных препаратов, см. 72.1
- упаковку фармацевтических препаратов, см. 82.92","This class includes:
- manufacture of medicaments:
  • antisera and other blood fractions
  • vaccines
  • diverse medicaments, including homeopathic preparations
- manufacture of chemical contraceptive products for external use and hormonal contraceptive medicaments
- manufacture of medical diagnostic preparations, including pregnancy tests
- manufacture of radioactive in-vivo diagnostic substances
- manufacture of biotech pharmaceuticals","This class also includes:
- manufacture of medical impregnated wadding, gauze, bandages, dressings etc.
- preparation of botanical products (grinding, grading, milling) for pharmaceutical use","This class excludes:
- manufacture of herb infusions (mint, vervain, chamomile etc.), see 10.83
- manufacture of dental fillings and dental cement, see 32.50
- manufacture of bone reconstruction cements, see 32.50
- manufacture of surgical drapes, see 32.50
- wholesale of pharmaceuticals, see 46.46
- retail sale of pharmaceuticals, see 47.73
- research and development for pharmaceuticals and biotech pharmaceuticals, see 72.1
- packaging of pharmaceuticals, see 82.92"
"2","22","","22","Производство резиновых и пластмассовых изделий","Данный раздел включает производство продукции из резины и пластика.

Данный раздел включает сырьевые материалы, используемые в производстве. Однако это не означает, что в него включены все виды производства и материалы.","","","This division includes the manufacture of rubber and plastics products.

This division is characterised by the raw materials used in the manufacturing process. However, this does not imply that the manufacture of all products made of these materials is classified here.","",""
"3","22.1","","221","Производство резиновых изделий","Данная группа включает производство продукции из резины.","","","This group includes the manufacture of rubber products.","",""
"4","22.11","","2211","Производство резиновых покрышек и камер; восстановление резиновых покрышек","Этот класс включает:
- производство шин и покрышек из резины для автотранспортных средств, оборудования, передвижной техники,  воздушных судов, игрушек, мебели и т.д.:
  • пневматических шин
  • цельных шин или шин с обрезиненным ободом
- производство камер для шин
- производство съемных покрышек, откидных клапанов, выпуклых заготовок для возобновления протекторов покрышек и т.д.
- восстановление протектора и капитальный ремонт шин","","Этот класс исключает:
- производство материалов для ремонта камер для шин, см. 22.19
- ремонт шин и камер, их установку или замену, см. 45.20","This class includes:
- manufacture of rubber tyres for vehicles, equipment, mobile machinery, aircraft, toy, furniture and other uses:
  • pneumatic tyres
  • solid or cushion tyres
- manufacture of inner tubes for tyres
- manufacture of interchangeable tyre treads, tyre flaps, ""camelback"" strips for retreading tyres etc.
- tyre rebuilding and retreading","","This class excludes:
- manufacture of tube repair materials, see 22.19
- tyre and tube repair, fitting or replacement, see 45.20"
"4","22.19","","2219","Производство прочих резиновых изделий","Этот класс включает:
- производство прочей продукции из природной или синтетической резины, не вулканизированной, вулканизированной резины или резины повышенной прочности:
  • резиновых пластин, листов, полос, валиков, профилей
  • камер для шин, труб и шлангов
  • резиновых конвейерных или трансмиссионных ремней
  • гигиенических резиновых изделий: контрацептивов, сосок, грелок и т.п.
  • одежды из эластика (цельной, без швов)
  • резиновых подметок и прочих резиновых частей для обуви
  • резиновых ниток и шнуров
  • резиновой пряжи и тканей
  • резиновых ободов, гарнитур и печати
  • резиновых покрытий
  • надувных резиновых матрасов
  • надувных шаров
- производство щеток и кистей из резины
- производство резиновых труб
- производство расчесок и гребней из твердой резины, заколок для волос, бигуди и т.д.","Этот класс также включает:
- производство ремонтных материалов из резины
- производство тканей пропитанных, окрашенных, покрытых или ламинированных резиной, где резина служит основным компонентом
- производство матрасов из резины для водяных кроватей
- производство плавательных шапочек и фартуков из резины
- производство плавательных нырятельных костюмов из резины
- производство резиновых сексуальных изделий","Этот класс исключает:
- производство волокон для кордовых покрышек, см. 13.96
- производство одежды из эластичного волокна, см. 14.14, 14.19
- производство резиновой обуви, см. 15.20
- производство клея и клеящих веществ на резиновой основе, см. 20.52
- производство выпуклых заготовок для протекторов, см. 22.11
- производство надувных плотов  и лодок, см. 30.11, 30.12
- производство безобтяжных матрасов из пористой резины, см. 31.03
- производство спортивного инвентаря из резины, за исключением одежды, см. 32.30
- производство резиновых игр и игрушек (включая детские бассейны, надувные детские резиновые лодки, надувные плавательные круги в виде животные, мячи и т.п.), см. 32.40
- регенерацию резины, см. 38.32","This class includes:
- manufacture of other products of natural or synthetic rubber, unvulcanised, vulcanised or hardened:
  • rubber plates, sheets, strip, rods, profile shapes
  • tubes, pipes and hoses
  • rubber conveyor or transmission belts or belting
  • rubber hygienic articles: sheath contraceptives, teats, hot water bottles etc.
  • rubber articles of apparel (if only sealed together, not sewn)
  • rubber sole and other rubber parts of footwear
  • rubber thread and rope
  • rubberised yarn and fabrics
  • rubber rings, fittings and seals
  • rubber roller coverings
  • inflatable rubber mattresses
  • inflatable balloons
- manufacture of rubber brushes
- manufacture of hard rubber pipe stems
- manufacture of hard rubber combs, hair pins, hair rollers, and similar","This class also includes:
- manufacture of rubber repair materials
- manufacture of textile fabric impregnated, coated, covered or laminated with rubber, where rubber is the chief constituent
- manufacture of rubber waterbed mattresses
- manufacture of rubber bathing caps and aprons
- manufacture of rubber wet suits and diving suits
- manufacture of rubber sex articles","This class excludes:
- manufacture of tyre cord fabrics, see 13.96
- manufacture of apparel of elastic fabrics, see 14.14, 14.19
- manufacture of rubber footwear, see 15.20
- manufacture of glues and adhesives based on rubber, see 20.52
- manufacture of ""camelback"" strips, see 22.11
- manufacture of inflatable rafts and boats, see 30.11, 30.12
- manufacture of mattresses of uncovered cellular rubber, see 31.03
- manufacture of rubber sports requisites, except apparel, see 32.30
- manufacture of rubber games and toys (including children's wading pools, inflatable children rubber boats, inflatable rubber animals, balls and the like), see 32.40
- reclaiming of rubber, see 38.32"
"3","22.2","","222","Производство пластмассовых изделий","Данный группа включает переработку новых или повторно использованных пластических смол в промежуточную или готовую продукцию при использовании таких процессов, как формовка, штамповка, выдувание и отлив. В результате, пройдя весь производственный процесс, выход получает широкий ассортимент изделий.","","","This group comprises processing new or spent (i.e., recycled) plastics resins into intermediate or final products, using such processes as compression moulding; extrusion moulding; injection moulding; blow moulding; and casting. For most of these, the production process is such that a wide variety of products can be made.","",""
"4","22.21","","2220","Производство пластмассовых листов, камер для шин и профилей","Этот класс включает:
- производство заготовок из пластика:
  • пластиковых листов, блоков, пленок, монтажной пленки и прочих видов пленок (самоклеящейся и нет)
- производство готовых продуктов из пластика:
  • пластиковых камер для шин, труб, шлангов и гарнитуры
  • целлофановой пленки","","Этот класс исключает:
- производство пластика в первичных формах, см. 20.16
- производство изделий из синтетической или натуральной резины, см. 22.1","This class includes:
- manufacture of semi-manufactures of plastic products:
  • plastic plates, sheets, blocks, film, foil, strip etc. (whether self-adhesive or not)
- manufacture of finished plastic products:
  • plastic tubes, pipes and hoses; hose and pipe fittings
  • cellophane film or sheet","","This class excludes:
- manufacture of plastics in primary forms, see 20.16
- manufacture of articles of synthetic or natural rubber, see 22.1"
"4","22.22","","2220","Производство пластиковых упаковок для товаров","Этот класс включает:
- производство пластиковых изделий для упаковки товаров:
  • пластиковых пакетов, мешков, емкостей, коробок, ящиков, бутылей, бутылок и т.д.","","Этот класс исключает:
- производство багажных сумок и дамских сумочек из пластика, см. 15.12","This class includes:
- manufacture of plastic articles for the packing of goods:
  • plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.","","This class excludes:
- manufacture of luggage and handbags of plastic, see 15.12"
"4","22.23","","2220","Производство строительных пластиковых изделий","Этот класс включает:
- производство строительных пластиковых изделий:
  • пластиковых дверей, окон, рам, ставней, опалубков
  • емкостей
  • пластиковых покрытий, облицовок для стен и потолков в виде рулонов, плиток, пластин или прочих форм напольных покрытий и т.д.
  • пластиковых предметов гигиены, таких как ванны, душевые кабины, раковины, унитазы, водосливные бачки и т.д.
- производство эластичных покрытий, таких как винил, линолеум
- производство искусственного камня (например, обработанного мрамора)","","","This class includes:
- manufacture of builders' plastics ware:
  • plastic doors, windows, frames, shutters, blinds, skirting boards
  • tanks, reservoirs
  • plastic floor, wall or ceiling coverings in rolls or in the form of tiles etc.
  • plastic sanitary ware like plastic baths, shower baths, washbasins, lavatory pans, flushing cisterns etc.
- manufacture of resilient floor coverings, such as vinyl, linoleum etc.
- manufacture of artificial stone (e.g. cultured marble)","",""
"4","22.29","","2220","Производство прочих пластмассовых изделий","Этот класс включает:
- производство столовых, кухонных и туалетных принадлежностей
- производство различных изделий из пластика:
  • пластиковых головных уборов, изоляционного оснащения, частей осветительных приборов, офисных или школьных принадлежностей, предметов одежды (бесшовных), мебельной фурнитуры, статуэток, трансмиссионных и конвейерных ремней, самоклеющейся пленки, пластиковых задников для обуви, пластиковых держателей для сигарет и сигар, расчесок и бигуди, прочих мелких предметов из пластмассы и т.д.","","Этот класс исключает:
- производство пластмассовых багажных сумок, см. 15.12
- производство пластиковой обуви, см. 15.20
- производство пластиковой мебели, см. 31.01, 31.02, 31.09
- производство безобтяжных матрасов из пористого пластика, см. 31.03
- производство пластиковых спортивных принадлежностей, см. 32.30
- производство пластиковых игр и игрушек, см. 32.40
- производство пластиковых медицинских и зубоврачебных принадлежностей, см. 32.50
- производство пластиковых офтальмологических принадлежностей, см. 32.50
- производство пластиковых касок и прочих защитных принадлежностей, см. 32.99","This class includes:
- manufacture of plastic tableware, kitchenware and toilet articles
- manufacture of diverse plastic products:
  • plastic headgear, insulating fittings, parts of lighting fittings, office or school supplies, articles of apparel (if only sealed together, not sewn), fittings for furniture, statuettes, transmission and conveyer belts, self-adhesive tapes of plastic, plastic shoe lasts, plastic cigar and cigarette holders, combs, plastics hair curlers, plastics novelties, etc.","","This class excludes:
- manufacture of plastic luggage, see 15.12
- manufacture of plastic footwear, see 15.20
- manufacture of plastic furniture, see 31.01, 31.02, 31.09
- manufacture of mattresses of uncovered cellular plastic, see 31.03
- manufacture of plastic sports requisites, see 32.30
- manufacture of plastic games and toys, see 32.40
- manufacture of plastic medical and dental appliances, see 32.50
- manufacture of plastic ophthalmic goods, see 32.50
- manufacture of plastics hard hats and other personal safety equipment of plastics, see 32.99"
"2","23","","23","Производство прочей неметаллической минеральной продукции","Данный раздел включает производственные виды деятельности, относящиеся к выпуску изделий на минеральной основе. Данный раздел включает производство стекла и изделий из стекла (например, плоского стекла, полого стекла, стекловолокна, технического оснащения и т.д.), керамических изделий, напольных покрытий, кафеля, черепицы, терракотовых изделий, цемента и штукатурки от сырья до готовых изделий.","Производство отделочного камня и прочей минеральной продукции также включено в данный раздел.","","This division includes manufacturing activities related to a single substance of mineral origin. This division includes the manufacture of glass and glass products (e.g. flat glass, hollow glass, fibres, technical glassware etc.), ceramic products, tiles and baked clay products, and cement and plaster, from raw materials to finished articles.","The manufacture of shaped and finished stone and other mineral products is also included in this division.",""
"3","23.1","","231","Производство стекла и изделий из стекла","Данная группа включает производство всех видов стекла, изготовленных любыми способами и изделий из стекла.","","","This group includes glass in all its forms, made by any process, and articles of glass.","",""
"4","23.11","","2310","Производство листового стекла","Этот класс включает:
- производство плоского стекла, включая армированное проволокой стекло, цветное или тонированное стекло","","","This class includes:
- manufacture of flat glass, including wired, coloured or tinted flat glass","",""
"4","23.12","","2310","Формирование и обработка листового стекла","Этот класс включает:
- производство усиленного или многослойного плоского стекла
- производство зеркал
- производство многослойных изолирующих предметов из стекла","","","This class includes:
- manufacture of toughened or laminated flat glass
- manufacture of glass mirrors
- manufacture of multiple-walled insulating units of glass","",""
"4","23.13","","2310","Производство полых стеклянных изделий","Этот класс включает:
- производство бутылок и прочих емкостей из стекла или хрусталя
- производство стаканов, фужеров, рюмок, бокалов, чашек и прочих бытовых изделий из стекла или хрусталя","","Этот класс исключает:
- производство стеклянных игрушек, см. 32.40","This class includes:
- manufacture of bottles and other containers of glass or crystal
- manufacture of drinking glasses and other domestic glass or crystal articles","","This class excludes:
- manufacture of glass toys, see 32.40"
"4","23.14","","2310","Производство стекловолокна","Этот класс включает:
- производство стекловолокна, включая стекловату и прочие нетканые материалы","","Этот класс исключает:
- производство тканых материалов из стекловолокна, см. 13.20
- производство оптоволоконных кабелей для передачи данных или прямой передачи  изображений, см. 27.31","This class includes:
- manufacture of glass fibres, including glass wool and non-woven products thereof","","This class excludes:
- manufacture of woven fabrics of glass yarn, see 13.20
- manufacture of fibre optic cable for data transmission or live transmission of images, see 27.31"
"4","23.19","","2310","Производство и обработка прочих стеклянных изделий, включая технические","Этот класс включает:
- производство лабораторных, гигиенических или фармацевтических принадлежностей и оборудования
- производство стекол для всех видов часов в т.ч. наручных часов, оптического стекла и оптических элементов, оптически не обработанных
- производство стеклянных деталей, используемых для изготовления искусственных драгоценностей
- производство изоляционных материалов и гарнитуры из стекла
- производство плафонов для осветительных приборов
- производство статуэток из стекла
- производство перекрывного бруса и брусчатки из стекла
- производство стеклянного штапика","","Этот класс исключает:
- производство оптически обработанных оптических элементов, см. 26.70
- производство шприцов и прочего медицинского лабораторного оборудования, см. 32.50","This class includes:
- manufacture of laboratory, hygienic or pharmaceutical glassware
- manufacture of clock or watch glasses, optical glass and optical elements not optically worked
- manufacture of glassware used in imitation jewellery
- manufacture of glass insulators and glass insulating fittings
- manufacture of glass envelopes for lamps
- manufacture of glass figurines
- manufacture of glass paving blocks
- manufacture of glass in rods or tubes","","This class excludes:
- manufacture of optical elements optically worked, see 26.70
- manufacture of syringes and other medical laboratory equipment, see 32.50"
"3","23.2","","239","Производство огнеупорных изделий","","","","","",""
"4","23.20","","2391","Производство огнеупорных изделий","Этот класс включает производство промежуточной продукции из природных не содержащих металл минералов, таких как, песок, гравий, галька или глина.

Этот класс включает:
- производство огнеупорного раствора, бетона и т.д.
- производство огнеупорных керамических изделий:
  • теплоизоляционных керамических изделий из кремниевого порошка
  • огнеупорного кирпича, блоков и напольных покрытий и т.д.
  • реторт, тигелей, муфелей, форсунок, патрубков, трубок и т.д.","Этот класс также включает:
- производство огнеупорных изделий содержащих магнезит, доломит или хромит","","This class includes the manufacture of intermediate products from mined or quarried non-metallic minerals, such as sand, gravel, stone or clay.

This class includes:
- manufacture of refractory mortars, concretes etc.
- manufacture of refractory ceramic goods:
  • heat-insulating ceramic goods of siliceous fossil meals
  • refractory bricks, blocks and tiles etc.
  • retorts, crucibles, muffles, nozzles, tubes, pipes etc.","This class also includes:
- manufacture of refractory articles containing magnesite, dolomite or chromite",""
"3","23.3","","239","Производство строительных материалов из глины","","","","","",""
"4","23.31","","2392","Производство керамических покрытий и плит","Этот класс включает:
- производство неогнеупорных керамических изделий или настенной плитки, мозаики и т.д.
- производство неогнеупорных керамических тротуарных плит и брусчатки","","Этот класс исключает:
- производство искусственного камня (например, обработанного мрамора), см. 22.23
- производство огнеупорных керамических продуктов, см. 23.20
- производство керамического кирпича, напольных покрытий и кровельных материалов, см. 23.32","This class includes:
- manufacture of non-refractory ceramic hearth or wall tiles, mosaic cubes etc.
- manufacture of non-refractory ceramic flags and paving","","This class excludes:
- manufacture of artificial stone (e.g. cultured marble), see 22.23
- manufacture of refractory ceramic products, see 23.20
- manufacture of ceramic bricks and roofing tiles, see 23.32"
"4","23.32","","2392","Производство кирпича, черепицы и прочих строительных изделий из обожженной глины","Этот класс включает:
- производство строительных неогнеупорных материалов из глины:
  • керамической плитки, черепицы, колпаков над дымовой трубой, труб, изолирующих материалов и т.д.
- производство напольной плитки из терракоты","","Этот класс исключает:
- производство огнеупорных керамических продуктов, см. 23.20
- производство неструктурных неогнеупорных керамических продуктов, см. 23.4","This class includes:
- manufacture of structural non-refractory clay building materials:
  • manufacture of ceramic bricks, roofing tiles, chimney pots, pipes, conduits etc.
- manufacture of flooring blocks in baked clay","","This class excludes:
- manufacture of refractory ceramic products, see 23.20
- manufacture of non-structural non-refractory ceramic products, see 23.4"
"3","23.4","","239","Производство прочих фарфоровых и керамических изделий","Данная группа включает производство готовых изделий из ископаемых, не содержащих металла, минералов, таких как, песок, гравий, галька или глина.","","","This group includes the manufacture of final products from mined or quarried non-metallic minerals, such as sand, gravel, stone or clay.","",""
"4","23.41","","2393","Производство керамических бытовых и декоративных изделий","Этот класс включает:
- производство керамической столовой посуды и прочих бытовых или туалетных изделий
- производство статуэток и прочих декоративных керамических изделий","","Этот класс исключает:
- производство искусственных драгоценностей, см. 32.13
- производство керамических игрушек, см. 32.40","This class includes:
- manufacture of ceramic tableware and other domestic or toilet articles
- manufacture of statuettes and other ornamental ceramic articles","","This class excludes:
- manufacture of imitation jewellery, see 32.13
- manufacture of ceramic toys, see 32.40"
"4","23.42","","2393","Производство керамического гигиенического сантехнического оборудования","Этот класс включает:
- производство керамического гигиенического сантехнического оборудования, например, раковин, ванн, биде, унитазов и т.д.
- производство прочих керамических приспособлений","","Этот класс исключает:
- производство огнеупорных керамических продуктов, см. 23.20
- производство керамических строительных материалов, см. 23.3","This class includes:
- manufacture of ceramic sanitary fixtures, e.g. sinks, baths, bidets, water closet pans etc.
- manufacture of other ceramic fixtures","","This class excludes:
- manufacture of refractory ceramic goods, see 23.20
- manufacture of ceramic building materials, see 23.3"
"4","23.43","","2393","Производство керамических изоляционных материалов и гарнитуры","Этот класс включает:
- производство электрической изоляционной керамической арматуры","","Этот класс исключает:
- производство огнеупорных керамических продуктов, см. 23.20","This class includes:
- manufacture of electrical insulators and insulating fittings of ceramics","","This class excludes:
- manufacture of refractory ceramic goods, see 23.20"
"4","23.44","","2393","Производство прочих технических керамических изделий","Этот класс включает:
- производство керамических и ферритовых магнитов
- производство керамических лабораторных, химических и промышленных изделий","","Этот класс исключает:
- производство искусственного камня (например, обработанного мрамора), см. 22.23
- производство огнеупорных керамических продуктов, см. 23.20
- производство керамических строительных материалов, см. 23.3","This class includes:
- manufacture of ceramic and ferrite magnets
- manufacture of ceramic laboratory, chemical and industrial products","","This class excludes:
- manufacture of artificial stone (e.g. cultured marble), see 22.23
- manufacture of refractory ceramic goods, see 23.20
- manufacture of ceramic building materials, see 23.3"
"4","23.49","","2393","Производство прочих керамических изделий","Этот класс включает:
- производство керамических чайников, кувшинов и аналогичных изделий, используемых для транспортировки или упаковывания товаров
- производство прочих керамических продуктов, не включенных в другие категории","","Этот класс исключает:
- производство керамического гигиенического сантехнического оборудования, см. 23.42
- производство искусственных зубов, см. 32.50","This class includes:
- manufacture of ceramic pots, jars and similar articles of a kind used for conveyance or packing of goods
- manufacture of ceramic products n.e.c.","","This class excludes:
- manufacture of ceramic sanitary fixtures, see 23.42
- manufacture of artificial teeth, see 32.50"
"3","23.5","","239","Производство цемента, извести и штукатурки","","","","","",""
"4","23.51","","2394","Производство цемента","Этот класс включает:
- производство клинкерного и гидравлического цемента, включая портландцемент, глиноземный, шлаковый и суперфосфатный цемент","","Этот класс исключает:
- производство огнеупорного раствора, бетона и т.д., см. 23.20
- производство готовых и сухих строительных растворов и бетона, см. 23.63, 23.64
- производство  изделий из цемента, см. 23.69
- производство цемента, используемого в стоматологии, см. 32.50","This class includes:
- manufacture of clinkers and hydraulic cements, including Portland, aluminous cement, slag cement and superphosphate cements","","This class excludes:
- manufacture of refractory mortars, concrete etc., see 23.20
- manufacture of ready-mixed and dry-mix concrete and mortars, see 23.63, 23.64
- manufacture of articles of cement, see 23.69
- manufacture of cements used in dentistry, see 32.50"
"4","23.52","","2394","Производство извести и строительного гипса","Этот класс включает:
- производство негашеной, гашеной и гидравлической извести
- производство штукатурки из обожженного гипса или кальцинированного сульфата","Этот класс также включает:
- производство кальцинированного доломита","Этот класс исключает:
- производство  изделий из штукатурки, см. 23.62, 23.69","This class includes:
- manufacture of quicklime, slaked lime and hydraulic lime
- manufacture of plasters of calcined gypsum or calcined sulphate","This class also includes:
- manufacture of calcined dolomite","This class excludes:
- manufacture of articles of plaster, see 23.62, 23.69"
"3","23.6","","239","Производство изделий из бетона, цемента и строительного гипса","","","","","",""
"4","23.61","","2395","Производство строительных изделий из бетона","Этот класс включает:
- производство заводского бетона, цемента или изделий из искусственного камня для использования в строительных целях:
  • напольных покрытий, плиток для мощения, плит, панелей, труб, столбов и т.д.
- производство готовых конструкций из цемента, бетона или искусственного камня для строительства или гражданского строительства","","","This class includes:
- manufacture of precast concrete, cement or artificial stone articles for use in construction:
  • tiles, flagstones, bricks, boards, sheets, panels, pipes, posts etc.
- manufacture of prefabricated structural components for building or civil engineering of cement, concrete or artificial stone","",""
"4","23.62","","2395","Производство изделий из гипса для строительных целей","Этот класс включает:
- производство изделий из строительного гипса для использования в строительных целях:
  • щитов, листов, панелей и т.д.","","","This class includes:
- manufacture of plaster articles for use in construction:
  • boards, sheets, panels etc.","",""
"4","23.63","","2395","Производство готового бетона","Этот класс включает:
- производство готовых и сухих строительных растворов и бетона","","Этот класс исключает:
- производство огнеупорных видов цемента, см. 23.20","This class includes:
- manufacture of ready-mix and dry-mix concrete and mortars","","This class excludes:
- manufacture of refractory cements, see 23.20"
"4","23.64","","2395","Производство растворов","Этот класс включает:
- производство растворов в порошкообразном виде","","Этот класс исключает:
- производство огнеупорных видов раствора, см. 23.20
- производство сухого бетона и раствора, см. 23.63","This class includes:
- manufacture of powdered mortars","","This class excludes:
- manufacture of refractory mortars, see 23.20
- manufacture of dry-mixed concrete and mortars, see 23.63"
