"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ROLNICTWO, LEŚNICTWO I RYBACTWO","Sekcja ta obejmuje działalności związane z:
-   eksploatacją naturalnych zasobów roślinnych i zwierzęcych,
-   uprawą zbóż i innych roślin uprawnych,
-   chowem i hodowlą zwierząt,
-   pozyskiwaniem drewna i surowców leśnych,
-   pozyskiwaniem zwierząt lub produktów zwierzęcych z gospodarstw rolnych lub ich naturalnego środowiska.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"2","23","Produkcja wyrobów z pozostałych mineralnych surowców niemetalicznych","Dział ten obejmuje:
-    produkcję szkła i wyrobów ze szkła (np. szkła płaskiego, szkła gospodarczego, włókna szklanego, szkła technicznego),
-    produkcję wyrobów ceramicznych, ceramiki budowlanej i płytek ceramicznych,
-    produkcję cementu oraz gipsu (jako surowców i wyrobów finalnych).","Dział ten obejmuje także produkcję kamieni kształtowych i gotowych i innych wyrobów mineralnych.","","","23","This division includes manufacturing activities related to a single substance of mineral origin. This division includes the manufacture of glass and glass products (e.g. flat glass, hollow glass, fibres, technical glassware etc.), ceramic products, tiles and baked clay products, and cement and plaster, from raw materials to finished articles.","The manufacture of shaped and finished stone and other mineral products is also included in this division.",""
"3","23.1","Produkcja szkła i wyrobów ze szkła","Grupa ta obejmuje szkło w dowolnej postaci, otrzymywane w dowolnym procesie i artykuły ze szkła","","","","231","This group includes glass in all its forms, made by any process, and articles of glass.","",""
"4","23.11","Produkcja szkła płaskiego","Klasa ta obejmuje:
-    produkcję szkła płaskiego, włączając tafle szklane zbrojone, kolorowe i cieniowane.","","","","2310","This class includes:
- manufacture of flat glass, including wired, coloured or tinted flat glass","",""
"4","23.12","Kształtowanie i obróbka szkła płaskiego","Klasa ta obejmuje:
-    produkcję szkła płaskiego hartowanego lub warstwowego,
-    produkcję luster i lusterek,
-    produkcję wielościennego szkła izolacyjnego.","","","","2310","This class includes:
- manufacture of toughened or laminated flat glass
- manufacture of glass mirrors
- manufacture of multiple-walled insulating units of glass","",""
"4","23.13","Produkcja szkła gospodarczego","Klasa ta obejmuje:
-    produkcję butelek i pozostałych pojemników ze szkła lub kryształu,
-    produkcję naczyń do picia i pozostałych artykułów gospodarstwa domowego ze szkła lub kryształu.","","Klasa ta nie obejmuje:
-    produkcji zabawek szklanych, sklasyfikowanej w 32.40.","","2310","This class includes:
- manufacture of bottles and other containers of glass or crystal
- manufacture of drinking glasses and other domestic glass or crystal articles","","This class excludes:
- manufacture of glass toys, see 32.40"
"4","23.14","Produkcja włókien szklanych","Klasa ta obejmuje:
-    produkcję włókien szklanych, włączając watę szklaną i materiały nietkane z włókien szklanych.","","Klasa ta nie obejmuje:
-    produkcji tkanin z włókien szklanych, sklasyfikowanej w 13.20,
-    produkcji optycznych przewodów i kabli do transmisji danych i obrazów, sklasyfikowanej w 27.31.","","2310","This class includes:
- manufacture of glass fibres, including glass wool and non-woven products thereof","","This class excludes:
- manufacture of woven fabrics of glass yarn, see 13.20
- manufacture of fibre optic cable for data transmission or live transmission of images, see 27.31"
"4","23.19","Produkcja i obróbka pozostałego szkła, włączając szkło techniczne","Klasa ta obejmuje:
-    produkcję szklanych wyrobów laboratoryjnych, higienicznych i farmaceutycznych,
-    produkcję szkieł do zegarów i zegarków, szkieł okularowych i elementów optycznych niewykorzystywanych w optyce,
-    produkcję szklanej sztucznej biżuterii,
-    produkcję izolatorów szklanych i szklanego osprzętu izolującego,
-    produkcję szklanych kloszy do lamp,
-    produkcję szklanych figurek,
-    produkcję bloków szklanych do układania powierzchni,
-    produkcję szkła w postaci prętów, rurek i tub.","","Klasa ta nie obejmuje:
-    produkcji elementów optycznych wykorzystywanych  w  optyce, sklasyfikowanej w 26.70,
-    produkcji strzykawek i pozostałego medycznego sprzętu laboratoryjnego, sklasyfikowanej w 32.50.","","2310","This class includes:
- manufacture of laboratory, hygienic or pharmaceutical glassware
- manufacture of clock or watch glasses, optical glass and optical elements not optically worked
- manufacture of glassware used in imitation jewellery
- manufacture of glass insulators and glass insulating fittings
- manufacture of glass envelopes for lamps
- manufacture of glass figurines
- manufacture of glass paving blocks
- manufacture of glass in rods or tubes","","This class excludes:
- manufacture of optical elements optically worked, see 26.70
- manufacture of syringes and other medical laboratory equipment, see 32.50"
"3","23.2","Produkcja wyrobów ogniotrwałych","","","","","239","","",""
"4","23.20","Produkcja wyrobów ogniotrwałych","Klasa ta obejmuje:
-    produkcję ogniotrwałych zapraw murarskich, betonów itp.,
 •     produkcję wyrobów ceramicznych ogniotrwałych, takich jak:
 •     elementy termoizolacyjne z ziemi okrzemkowej,
 •     bloki, cegły i pustaki ogniotrwałe,
 •     retorty, tygle, dysze, rury itp.","Klasa ta obejmuje także:
-    produkcję wyrobów ogniotrwałych zawierających magnezyt, dolomit lub chromit.","","","2391","This class includes the manufacture of intermediate products from mined or quarried non-metallic minerals, such as sand, gravel, stone or clay.

This class includes:
- manufacture of refractory mortars, concretes etc.
- manufacture of refractory ceramic goods:
  • heat-insulating ceramic goods of siliceous fossil meals
  • refractory bricks, blocks and tiles etc.
  • retorts, crucibles, muffles, nozzles, tubes, pipes etc.","This class also includes:
- manufacture of refractory articles containing magnesite, dolomite or chromite",""
"3","23.3","Produkcja ceramicznych materiałów budowlanych","","","","","239","","",""
"4","23.31","Produkcja ceramicznych kafli i płytek","Klasa ta obejmuje:
-    produkcję nieogniotrwałych ceramicznych kafli, płytek ściennych, kostek, mozaiki itp.,
-    produkcję nieogniotrwałych ceramicznych płytek podłogowych i chodnikowych.","","Klasa ta nie obejmuje:
-    produkcji sztucznego kamienia (np. sztucznego marmuru), sklasyfikowanej w 22.23,
-    produkcji ogniotrwałych wyrobów ceramicznych, sklasyfikowanej w 23.20,
-    produkcji cegieł, dachówek z wypalanej gliny, sklasyfikowanej w 23.32.","","2392","This class includes:
- manufacture of non-refractory ceramic hearth or wall tiles, mosaic cubes etc.
- manufacture of non-refractory ceramic flags and paving","","This class excludes:
- manufacture of artificial stone (e.g. cultured marble), see 22.23
- manufacture of refractory ceramic products, see 23.20
- manufacture of ceramic bricks and roofing tiles, see 23.32"
"4","23.32","Produkcja cegieł, dachówek i materiałów budowlanych, z wypalanej gliny","Klasa ta obejmuje:
-    produkcję nieogniotrwałych konstrukcyjnych materiałów budowlanych, z wypalanej gliny:
 •     cegły, dachówek, elementów kominków, rur itp.,
-    produkcję bloków podłogowych z wypalanej gliny.","","Klasa ta nie obejmuje:
-    produkcji ogniotrwałych wyrobów ceramicznych, sklasyfikowanej w 23.20,
-    produkcji nieogniotrwałych wyrobów ceramicznych innych niż budowlane, sklasyfikowanej w odpowiednich klasach grupy 23.4.","","2392","This class includes:
- manufacture of structural non-refractory clay building materials:
  • manufacture of ceramic bricks, roofing tiles, chimney pots, pipes, conduits etc.
- manufacture of flooring blocks in baked clay","","This class excludes:
- manufacture of refractory ceramic products, see 23.20
- manufacture of non-structural non-refractory ceramic products, see 23.4"
"3","23.4","Produkcja pozostałych wyrobów z porcelany i ceramiki","Grupa ta obejmuje produkcję wyrobów finalnych z niemetalicznych minerałów takich jak piasek, żwir, kamień lub glina.","","","","239","This group includes the manufacture of final products from mined or quarried non-metallic minerals, such as sand, gravel, stone or clay.","",""
"4","23.41","Produkcja ceramicznych wyrobów stołowych i ozdobnych","Klasa ta obejmuje:
-    produkcję ceramiki stołowej i pozostałych ceramicznych wyrobów użytku domowego i toaletowego,
-    produkcję figurek i pozostałych ozdobnych wyrobów z ceramiki.","","Klasa ta nie obejmuje:
-    produkcji sztucznej biżuterii, sklasyfikowanej w 32.13,
-    produkcji zabawek ceramicznych, sklasyfikowanej w 32.40.","","2393","This class includes:
- manufacture of ceramic tableware and other domestic or toilet articles
- manufacture of statuettes and other ornamental ceramic articles","","This class excludes:
- manufacture of imitation jewellery, see 32.13
- manufacture of ceramic toys, see 32.40"
"4","23.42","Produkcja ceramicznych wyrobów sanitarnych","Klasa ta obejmuje:
-    produkcję ceramicznych urządzeń sanitarnych, np. zlewów, wanien, bidetów, misek ustępowych,
-    produkcję pozostałej armatury ceramicznej.","","Klasa ta nie obejmuje:
-    produkcji ogniotrwałych wyrobów ceramicznych, sklasyfikowanej w 23.20,
-    produkcji ceramicznych materiałów budowlanych, sklasyfikowanej w odpowiednich klasach grupy 23.3.","","2393","This class includes:
- manufacture of ceramic sanitary fixtures, e.g. sinks, baths, bidets, water closet pans etc.
- manufacture of other ceramic fixtures","","This class excludes:
- manufacture of refractory ceramic goods, see 23.20
- manufacture of ceramic building materials, see 23.3"
"4","23.43","Produkcja ceramicznych izolatorów i osłon izolacyjnych","Klasa ta obejmuje:
-    produkcję elektrycznych ceramicznych izolatorów i osłon izolacyjnych.","","Klasa ta nie obejmuje:
-    produkcji ogniotrwałych wyrobów ceramicznych, sklasyfikowanej w 23.20.","","2393","This class includes:
- manufacture of electrical insulators and insulating fittings of ceramics","","This class excludes:
- manufacture of refractory ceramic goods, see 23.20"
"4","23.44","Produkcja pozostałych ceramicznych wyrobów technicznych","Klasa ta obejmuje:
-    produkcję magnesów ceramicznych i ferrytowych,
-    produkcję ceramiki laboratoryjnej, chemicznej i do zastosowań technicznych.","","Klasa ta nie obejmuje:
-    produkcji sztucznego kamienia (np. sztucznego marmuru), sklasyfikowanej w 22.23,
-    produkcji ogniotrwałych wyrobów ceramicznych, sklasyfikowanej w 23.20,
-    produkcji ceramicznych materiałów budowlanych, sklasyfikowanej w odpowiednich klasach grupy 23.3.","","2393","This class includes:
- manufacture of ceramic and ferrite magnets
- manufacture of ceramic laboratory, chemical and industrial products","","This class excludes:
- manufacture of artificial stone (e.g. cultured marble), see 22.23
- manufacture of refractory ceramic goods, see 23.20
- manufacture of ceramic building materials, see 23.3"
"4","23.49","Produkcja pozostałych wyrobów z ceramiki","Klasa ta obejmuje:
-    produkcję ceramicznych słojów i słoików oraz pozostałych naczyń tego typu stosowanych do transportu lub przechowywania towarów,
-    produkcję pozostałych wyrobów z ceramiki, gdzie indziej niesklasyfikowaną.","","Klasa ta nie obejmuje:
-    produkcji ceramicznych urządzeń sanitarnych, sklasyfikowanej w 23.42,
-    produkcji sztucznych zębów, sklasyfikowanej w 32.50.","","2393","This class includes:
- manufacture of ceramic pots, jars and similar articles of a kind used for conveyance or packing of goods
- manufacture of ceramic products n.e.c.","","This class excludes:
- manufacture of ceramic sanitary fixtures, see 23.42
- manufacture of artificial teeth, see 32.50"
"3","23.5","Produkcja cementu, wapna i gipsu","","","","","239","","",""
"4","23.51","Produkcja cementu","Klasa ta obejmuje:
-    produkcję klinkieru cementowego i cementów hydraulicznych, włączając cement portlandzki, cement glinowy, cement żużlowy i cement superfosfatowy.","","Klasa ta nie obejmuje:
-    produkcji ogniotrwałych zapraw murarskich i betonu, sklasyfikowanej w 23.20,
-    produkcji masy betonowej prefabrykowanej i suchego  betonu oraz zaprawy murarskiej, sklasyfikowanej w 23.63, 23.64,
-    produkcji wyrobów z cementu, sklasyfikowanej w 23.69,
-    produkcji cementu dentystycznego, sklasyfikowanej w 32.50.","","2394","This class includes:
- manufacture of clinkers and hydraulic cements, including Portland, aluminous cement, slag cement and superphosphate cements","","This class excludes:
- manufacture of refractory mortars, concrete etc., see 23.20
- manufacture of ready-mixed and dry-mix concrete and mortars, see 23.63, 23.64
- manufacture of articles of cement, see 23.69
- manufacture of cements used in dentistry, see 32.50"
"4","23.52","Produkcja wapna i gipsu","Klasa ta obejmuje:
-    produkcję wapna palonego, gaszonego i hydraulicznego,
-    produkcję spoiw gipsowych zawierających gips palony lub siarczan wapniowy.","Klasa ta obejmuje także:
-    produkcję dolomitu wypalonego.","Klasa ta nie obejmuje:
-    produkcji wyrobów z gipsu, sklasyfikowanej w 23.62, 23.69.","","2394","This class includes:
- manufacture of quicklime, slaked lime and hydraulic lime
- manufacture of plasters of calcined gypsum or calcined sulphate","This class also includes:
- manufacture of calcined dolomite","This class excludes:
- manufacture of articles of plaster, see 23.62, 23.69"
"3","23.6","Produkcja wyrobów z betonu, cementu i gipsu","","","","","239","","",""
"4","23.61","Produkcja wyrobów budowlanych z betonu","Klasa ta obejmuje:
-    produkcję prefabrykowanych elementów z betonu, cementu lub ze sztucznego kamienia dla budownictwa, takich jak:
 •     cegły, pustaki, bloki, belki, płyty, słupy, rury, płyty chodnikowe itp.,
-    produkcję prefabrykowanych elementów konstrukcyjnych dla budownictwa oraz inżynierii lądowej i wodnej, z betonu, cementu lub ze sztucznego kamienia.","","","","2395","This class includes:
- manufacture of precast concrete, cement or artificial stone articles for use in construction:
  • tiles, flagstones, bricks, boards, sheets, panels, pipes, posts etc.
- manufacture of prefabricated structural components for building or civil engineering of cement, concrete or artificial stone","",""
"4","23.62","Produkcja wyrobów budowlanych z gipsu","Klasa ta obejmuje:
-    produkcję wyrobów budowlanych z gipsu, takich jak: płyty, arkusze itp.","","","","2395","This class includes:
- manufacture of plaster articles for use in construction:
  • boards, sheets, panels etc.","",""
"4","23.63","Produkcja masy betonowej prefabrykowanej","Klasa ta obejmuje:
-    produkcję masy betonowej prefabrykowanej,
-    produkcję suchego betonu.","","Klasa ta nie obejmuje:
-    produkcji ogniotrwałego cementu, sklasyfikowanej w 23.20.","","2395","This class includes:
- manufacture of ready-mix and dry-mix concrete and mortars","","This class excludes:
- manufacture of refractory cements, see 23.20"
"4","23.64","Produkcja zaprawy murarskiej","Klasa ta obejmuje:
-    produkcję nieogniotrwałych zapraw murarskich w formie proszku.","","Klasa ta nie obejmuje:
-    produkcji ogniotrwałej zaprawy murarskiej, sklasyfikowanej w 23.20,
-    produkcji suchego betonu, sklasyfikowanej w 23.63.","","2395","This class includes:
- manufacture of powdered mortars","","This class excludes:
- manufacture of refractory mortars, see 23.20
- manufacture of dry-mixed concrete and mortars, see 23.63"
"4","23.65","Produkcja cementu wzmocnionego włóknem","Klasa ta obejmuje:
-    produkcję wyrobów budowlanych z zastosowaniem włókien roślinnych (wełna drzewna, wióry, słoma, trzcina, sitowie) związanych cementem, gipsem lub innym spoiwem mineralnym,
-    produkcję wyrobów z cementu spojonego z włóknem celulozowym lub podobnym, takich jak:
 •     płyty faliste, inne płyt, wykładziny, dachówki, rury, tuby, zbiorniki, przepusty, odpływy, pojemniki, elementy wyposażenia wnętrz, ramy okienne itp.","","","","2395","This class includes:
- manufacture of building materials of vegetable substances (wood wool, straw, reeds, rushes) agglomerated with cement, plaster or other mineral binder
- manufacture of articles of asbestos-cement or cellulose fibre-cement or the like:
  • corrugated sheets, other sheets, panels, tiles, tubes, pipes, reservoirs, troughs, basins, sinks, jars, furniture, window frames etc.","",""
"4","23.69","Produkcja pozostałych wyrobów z betonu, gipsu i cementu","Klasa ta obejmuje produkcję pozostałych wyrobów z betonu, gipsu, cementu lub ze sztucznego kamienia, takich jak:
-    posągi, rzeźby, płaskorzeźby, meble, wazony, doniczki itp.","","","","2395","This class includes:
- manufacture of other articles of concrete, plaster, cement or artificial stone:
  • statuary, furniture, bas- and haut-reliefs, vases, flowerpots etc.","",""
"3","23.7","Cięcie, formowanie i wykańczanie kamienia","","","","","239","","",""
"4","23.70","Cięcie, formowanie i wykańczanie kamienia","Klasa ta obejmuje:
-    cięcie, formowanie i wykańczanie kamienia dla budownictwa, drogownictwa, dekarstwa, do wykonywania nagrobków na cmentarzach itp.,
-    produkcję mebli z kamienia.","","Klasa ta nie obejmuje:
-    działalności kamieniołomów, wydobywania, cięcia i wstępnej obróbki kamienia, sklasyfikowanej w 08.11,
-    produkcji kamieni młyńskich, kamieni ściernych i podobnych wyrobów, sklasyfikowanej w odpowiednich klasach grupy 23.9.","","2396","This class includes:
- cutting, shaping and finishing of stone for use in construction, in cemeteries, on roads, as roofing etc.
- manufacture of stone furniture","","This class excludes:
- activities carried out by operators of quarries, e.g. production of rough cut stone, see 08.11
- production of millstones, abrasive stones and similar products, see 23.9"
"3","23.9","Produkcja wyrobów ściernych i wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana","Grupa ta obejmuje produkcję pozostałych wyrobów z mineralnych surowców niemetalicznych.","","","","239","This group includes the manufacture of other non-metallic mineral products.","",""
"4","23.91","Produkcja wyrobów ściernych","Klasa ta obejmuje:
-    produkcję kamieni młyńskich, kamieni do ostrzenia i polerowania oraz naturalnych lub sztucznych materiałów ściernych, włączając materiały ścierne na podłożu miękkim (np. papier ścierny).","","","","2399","This class includes:
- manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products on a support, including abrasive products on a soft base (e.g. sandpaper)","",""
"4","23.99","Produkcja wyrobów z pozostałych mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana","Klasa ta obejmuje:
-    produkcję materiałów ciernych i wyrobów z nich, wykonanych na bazie substancji mineralnych lub celulozy, niezamontowanych,
-    produkcję izolacyjnych materiałów mineralnych, takich jak:
 •     wełna mineralna, żużlowa i podobne materiały; złuszczony wermikulit, spieniona glina oraz podobne materiały termoizolacyjne i dźwiękochłonne,
-    produkcję wyrobów z różnych substancji mineralnych, takich jak:
 •     mika, mika aktywna, torf, grafit (wyroby inne niż elektryczne) itp.,
-    produkcję wyrobów z asfaltu lub podobnych materiałów  (np. lepiszczy na bazie asfaltu, paku węglowego itp.),
-    produkcję włókna węglowego i grafitowego oraz wyrobów z nich, z wyłączeniem elektrod i osprzętu elektrycznego,
-    produkcję sztucznego korundu.","","Klasa ta nie obejmuje:
-    produkcji waty szklanej i wyrobów wykonanych z materiałów nietkanych z włókien szklanych, sklasyfikowanej w 23.14,
-    produkcji elektrod grafitowych, sklasyfikowanej w 27.90,
-    produkcji uszczelek węglowych i grafitowych, sklasyfikowanej w 28.29.","Clay (Drying and grinding of…)

Problem statement: Where is this drying and grinding of wet natural clay in order to get clay powder, fit for the production of ceramics classified?

Input material for the process is clay as extracted. It is too wet and too coarse-grained and does insofar not meet the needs for the production of ceramics. In a first step the raw clay will be dried in a dryer from 18% moisture content to about 8% moisture content. The temperature starts with 800°C and ends with 200°C. The high temperature produces steam which causes also a first kind of grinding (the steam breaks the material).

In a second step (a combined grinding and drying process) the material will be further dried to 1% moisture content and crushed to a particle size which is necessary for a use in the ceramic industry.

The output material is clay powder which is directly usable for the production of ceramics.

Solution: Considering the aspect of manufacturing of more elaborated products (as opposed to the basic operations that are classified to NACE Rev. 2 division 08 (Other mining and quarrying)) the drying and grinding of clay is classified to NACE Rev. 2 class 23.99 (Manufacture of other non-metallic mineral products n.e.c.).

Decision date: 28.04.2009","2399","This class includes:
- manufacture of friction material and unmounted articles thereof with a base of mineral substances or of cellulose
- manufacture of mineral insulating materials:
  • slag wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays and similar heat-insulating, sound-insulating or sound-absorbing materials
- manufacture of articles of diverse mineral substances:
  • worked mica and articles of mica, of peat, of graphite (other than electrical articles) etc.
- manufacture of articles of asphalt or similar material, e.g. asphalt-based adhesives, coal tar pitch etc.
- manufacture of carbon and graphite fibres and products (except electrodes and electrical applications)
- manufacture of artificial corundum","","This class excludes:
- manufacture of glass wool and non-woven glass wool products, see 23.14
- manufacture of graphite electrodes, see 27.90
- manufacture of carbon or graphite gaskets, see 28.29"
"2","24","Produkcja metali","Dział ten obejmuje:
-    wytapianie i/lub oczyszczanie metali żelaznych i nieżelaznych z rudy, surówki lub złomu przy zastosowaniu procesów elektrometalurgicznych i innych technik metalurgicznych.","Dział ten obejmuje także  wytwarzanie stopów i nadstopów metali poprzez dodanie pierwiastków chemicznych do czystych metali.

Wyrób powstały w wyniku wytapiania i oczyszczania, występujący zazwyczaj w formie wlewków, jest poddany operacji walcowania, ciągnienia i wytłaczania w celu otrzymania arkuszy, blach, taśm, prętów, drutów lub rur, tub i profili drążonych, a w formie ciekłej, przeznaczony jest do produkcji odlewów i części z metalu.","","","24","This division includes the activities of smelting and/or refining ferrous and non-ferrous metals from ore, pig or scrap, using electrometallurgic and other process metallurgic techniques.","This division also includes the manufacture of metal alloys and super-alloys by introducing other chemical elements to pure metals. The output of smelting and refining, usually in ingot form, is used in rolling, drawing and extruding operations to make products such as plate, sheet, strip, bars, rods, wire or tubes, pipes and hollow profiles, and in molten form to make castings and other basic metal products.",""
"3","24.1","Produkcja surówki żelazostopów, żeliwa i stali oraz wyrobów hutniczych","Grupa ta obejmuje działalności takie jak bezpośrednia redukcja rud żelaza, produkcję surówki odlewniczej w postaci stopionej lub stałej, konwersji surówki odlewniczej w stal, produkcję żelazostopów i wyrobów stalowych.","","","","241","This group includes activities such as direct reduction of iron ore, production of pig iron in molten or solid form, conversion of pig iron into steel, manufacture of ferroalloys and manufacture of steel products.","",""
"4","24.10","Produkcja surówki żelazostopów, żeliwa i stali oraz wyrobów hutniczych","Klasa ta obejmuje:
-    obsługę wielkich pieców, stalowni konwertorowej, stalowni elektrycznej, walcowni i walcarek wykańczających,
-    produkcję surówki odlewniczej i surówki zwierciadlistej w gąskach, blokach i pozostałych formach podstawowych,
-    produkcję żelazostopów,
-    produkcję żeliwa lub stali przez bezpośrednią redukcję rud żelaza lub innych gąbczastych produktów zawierających żelazo,
-    produkcję żelaza wyjątkowej czystości w procesie elektrolizy lub innych procesach chemicznych,
-    przetapianie wybrakowanych wlewków z żeliwa lub stali,
-    produkcję granulatu i proszku z żeliwa lub stali,
-    produkcję stali w postaci wlewków i innych form podstawowych,
-    produkcję półproduktów z żeliwa lub stali,
-    produkcję wyrobów płaskich walcowanych na gorąco i na zimno ze stali,
-    produkcję sztab i prętów, ze stali, walcowanych na gorąco,
-    produkcję kątowników, kształtowników i innych profili otwartych ze stali walcowanych na gorąco,
-    produkcję ścianek szczelnych (grodzic) i kształtowników spawanych,
-    produkcję elementów konstrukcyjnych torów kolejowych ze stali.","","Klasa ta nie obejmuje:
-    produkcji prętów poprzez ciągnienie na zimno, sklasyfikowanej w 24.31.","","2410","This class includes:
- operation of blast furnaces, steel converters, rolling and finishing mills
- production of pig iron and spiegeleisen in pigs, blocks or other primary forms
- production of ferro-alloys
- production of ferrous products by direct reduction of iron and other spongy ferrous products
- production of iron of exceptional purity by electrolysis or other chemical processes
- remelting of scrap ingots of iron or steel
- production of granular iron and iron powder
- production of steel in ingots or other primary forms
- production of semi-finished products of steel
- manufacture of hot-rolled and cold-rolled flat-rolled products of steel
- manufacture of hot-rolled bars and rods of steel
- manufacture of hot-rolled open sections of steel
- manufacture of sheet piling of steel and welded open sections of steel
- manufacture of railway track materials (unassembled rails) of steel","","This class excludes:
- cold drawing of bars, see 24.31"
"3","24.2","Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali","","","","","241","","",""
"4","24.20","Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali","Klasa ta obejmuje:
-    produkcję rur bez szwu o kołowym lub niekołowym przekroju poprzecznym, otrzymanych z półwyrobów o kołowym przekroju poprzecznym, do dalszej obróbki przez walcowanie na gorąco, wytłaczanie na gorąco lub z wykorzystaniem innego procesu obróbki na gorąco, lub z półproduktu, który może być sztabą lub kęsem, otrzymanymi przez walcowanie na gorąco lub odlewanie ciągłe,
-    produkcję rur bez szwu, nawet precyzyjnych, otrzymanych z półwyrobów walcowanych na gorąco lub wytłaczanych na gorąco poddanych dalszej obróbce, poprzez ciągnienie na zimno lub przez walcowanie na zimno rur o kołowym przekroju poprzecznym, oraz poprzez ciągnienie na zimno jedynie rur o niekołowym przekroju poprzecznym i profilów drążonych,
-    produkcję rur spawanych o przekroju poprzecznym przekraczającym 406,4 mm, formowanych na zimno z walcowanych na gorąco wyrobów płaskich i spawanych wzdłużnie lub spiralnie, włączając kształtowniki zamknięte,
-    produkcję rur spawanych o przekroju poprzecznym 406,4 mm lub mniejszym o kołowym przekroju poprzecznym, przez formowanie ciągłe na zimno lub gorąco arkuszy walcowanych i wyrobów płaskich walcowanych na zimno lub gorąco produktów walcowanych na zimno i spawanych wzdłużnie lub spiralnie, i o niekołowym przekroju poprzecznym poprzez formowanie do kształtu na zimno lub gorąco z walcowanych na zimno lub gorąco arkuszy spawanych wzdłużnie, włączając kształtowniki zamknięte,
-    produkcję spawanych rur precyzyjnych o przekroju poprzecznym 406,4 mm lub mniejszym, przez formowanie na zimno lub gorąco taśm walcowanych na zimno lub gorąco oraz spawanych wzdłużnie, i przekazywanych jako spawane lub poddanych dalszej obróbce poprzez ciągnienie na zimno, walcowanie na zimno lub formowanie do kształtu rur o niekołowym przekroju poprzecznym,
-    produkcję płaskich kołnierzy i kołnierzy z pierścieniami kutymi w procesie walcowania na gorąco płaskich wyrobów ze stali,
-    produkcję spawanych doczołowo łączników, takich jak kolanka i reduktory, przez kucie walcowanych na gorąco stalowych rur bez szwu,
-    produkcję elementów gwintowanych i pozostałych stalowych łączników rurowych.","","Klasa ta nie obejmuje:
-    produkcji rur bez szwu, ze staliwa odlewanego odśrodkowo, sklasyfikowanej w 24.52.","","2410","This class includes:
- manufacture of seamless tubes and pipes of circular or non-circular cross section and of blanks of circular cross section, for further processing, by hot rolling, hot extrusion or by other hot processes of an intermediate product which can be a bar or a billet obtained by hot rolling or continuous casting
- manufacture of precision and non-precision seamless tubes and pipes from hot rolled or hot extruded blanks by further processing, by cold-drawing or cold-rolling of tubes and pipes of circular cross section and by cold drawing only for tubes and pipes of non circular cross section and hollow profiles
- manufacture of welded tubes and pipes of an external diameter exceeding 406,4 mm, cold formed from hot rolled flat products and longitudinally or spirally welded
- manufacture of welded tubes and pipes of an external diameter of 406,4 mm or less of circular cross section by continuous cold or hot forming of hot or cold rolled flat products and longitudinally or spirally welded and of non-circular cross section by hot or cold forming into shape from hot or cold rolled strip longitudinally welded
- manufacture of welded precision tubes and pipes of an external diameter of 406,4 mm or less by hot or cold forming of hot or cold rolled strip and longitudinally welded delivered as welded or further processed, by cold drawing or cold rolling or cold formed into shape for tube and pipe of non-circular cross section
- manufacture of flat flanges and flanges with forged collars by processing of hot rolled flat products of steel
- manufacture of butt-welding fittings, such as elbows and reductions, by forging of hot rolled seamless tubes of steel
- threaded and other tube or pipe fittings of steel","","This class excludes
- manufacture of seamless tubes and pipes of steel by centrifugally casting, see 24.52"
"3","24.3","Produkcja pozostałych wyrobów ze stali poddanych wstępnej obróbce","Grupa ta obejmuje produkcję pozostałych wyrobów ze stali przetwarzanej na zimno.","","","","241","This group includes manufacturing other products by cold processing of steel.","",""
"4","24.31","Produkcja prętów ciągnionych na zimno","Klasa ta obejmuje:
-    produkcję stalowych sztab, prętów i pozostałych wyrobów ze stali poprzez ciągnienie na zimno, szlifowanie lub łuszczenie.","","Klasa ta nie obejmuje:
-    produkcji drutów poprzez ciągnienie, sklasyfikowanej w 24.34.","","2410","This class includes:
- manufacture of steel bars and solid sections of steel by cold drawing, grinding or turning","","This class excludes:
- drawing of wire, see 24.34"
"4","24.32","Produkcja wyrobów płaskich walcowanych na zimno","Klasa ta obejmuje:
-    produkcję walcowanych płaskich wyrobów ze stali, powlekanych lub niepowlekanych, w zwojach lub w postaci płaskich taśm, o szerokości < 600 mm, poprzez powtórne walcowanie na zimno płaskich wyrobów walcowanych na gorąco lub z prętów stalowych.","","","","2410","This class includes:
- manufacture of coated or uncoated flat rolled steel products in coils or in straight lengths of a width less than 600 mm by cold re-rolling of hot-rolled flat products or of steel rod","",""
