"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA","Esta sección comprende el aprovechamiento de los recursos naturales vegetales y animales, incluyendo las actividades de producción agrícola, cría y reproducción de animales, recolección de madera y de otras plantas y animales en una explotación o su hábitat natural.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"3","24.2","Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero","","","","","241","","",""
"4","24.20","Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero","","","","","2410","This class includes:
- manufacture of seamless tubes and pipes of circular or non-circular cross section and of blanks of circular cross section, for further processing, by hot rolling, hot extrusion or by other hot processes of an intermediate product which can be a bar or a billet obtained by hot rolling or continuous casting
- manufacture of precision and non-precision seamless tubes and pipes from hot rolled or hot extruded blanks by further processing, by cold-drawing or cold-rolling of tubes and pipes of circular cross section and by cold drawing only for tubes and pipes of non circular cross section and hollow profiles
- manufacture of welded tubes and pipes of an external diameter exceeding 406,4 mm, cold formed from hot rolled flat products and longitudinally or spirally welded
- manufacture of welded tubes and pipes of an external diameter of 406,4 mm or less of circular cross section by continuous cold or hot forming of hot or cold rolled flat products and longitudinally or spirally welded and of non-circular cross section by hot or cold forming into shape from hot or cold rolled strip longitudinally welded
- manufacture of welded precision tubes and pipes of an external diameter of 406,4 mm or less by hot or cold forming of hot or cold rolled strip and longitudinally welded delivered as welded or further processed, by cold drawing or cold rolling or cold formed into shape for tube and pipe of non-circular cross section
- manufacture of flat flanges and flanges with forged collars by processing of hot rolled flat products of steel
- manufacture of butt-welding fittings, such as elbows and reductions, by forging of hot rolled seamless tubes of steel
- threaded and other tube or pipe fittings of steel","","This class excludes
- manufacture of seamless tubes and pipes of steel by centrifugally casting, see 24.52"
"3","24.3","Fabricación de otros productos de primera transformación del acero","","","","","241","This group includes manufacturing other products by cold processing of steel.","",""
"4","24.31","Estirado en frío","","","","","2410","This class includes:
- manufacture of steel bars and solid sections of steel by cold drawing, grinding or turning","","This class excludes:
- drawing of wire, see 24.34"
"4","24.32","Laminación en frío","","","","","2410","This class includes:
- manufacture of coated or uncoated flat rolled steel products in coils or in straight lengths of a width less than 600 mm by cold re-rolling of hot-rolled flat products or of steel rod","",""
"4","24.33","Producción de perfiles en frío por conformación con plegado","","","","","2410","This class includes:
- manufacture of open sections by progressive cold forming on a roll mill or folding on a press of flat-rolled products of steel
- manufacture of cold-formed or cold-folded, ribbed sheets and sandwich panels","",""
"4","24.34","Trefilado en frío","","","","","2410","This class includes:
- manufacture of drawn steel wire, by cold drawing of steel wire rod","","This class excludes:
- drawing of bars and solid sections of steel, see 24.31
- manufacture of derived wire products, see 25.93"
"3","24.4","Producción de metales preciosos y de otros metales no férreos","","","","","242","","",""
"4","24.41","Producción de metales preciosos","","","","","2420","This class includes:
- production of basic precious metals:
  • production and refining of unwrought or wrought precious metals: gold, silver, platinum etc. from ore and scrap
- production of precious metal alloys
- production of precious metal semi-products
- production of silver rolled onto base metals
- production of gold rolled onto base metals or silver
- production of platinum and platinum group metals rolled onto gold, silver or base metals","This class also includes:
- manufacture of wire of these metals by drawing
- manufacture of precious metal foil laminates","This class excludes:
- casting of non-ferrous metals, see 24.53, 24.54
- manufacture of precious metal jewellery, see 32.12"
"4","24.42","Producción de aluminio","","","","","2420","This class includes:
- production of aluminium from alumina
- production of aluminium from electrolytic refining of aluminium waste and scrap
- production of aluminium alloys
- semi-manufacture of aluminium","This class also includes:
- manufacture of wire of these metals by drawing
- production of aluminium oxide (alumina)
- production of aluminium wrapping foil
- manufacture of aluminium foil laminates made from aluminium foil as primary component","This class excludes:
- casting of non-ferrous metals, see 24.53, 24.54"
"4","24.43","Producción de plomo, zinc y estaño","","","","","2420","This class includes:
- production of lead, zinc and tin from ores
- production of lead, zinc and tin from electrolytic refining of lead, zinc and tin waste and scrap
- production of lead, zinc and tin alloys
- semi-manufacture of lead, zinc and tin","This class also includes:
- manufacture of wire of these metals by drawing
- production of tin foil","This class excludes:
- casting of non-ferrous metals, see 24.53, 24.54"
"4","24.44","Producción de cobre","","","","","2420","This class includes:
- production of copper from ores
- production of copper from electrolytic refining of copper waste and scrap
- production of copper alloys
- manufacture of fuse wire or strip
- semi-manufacture of copper","This class also includes:
- manufacture of wire of these metals by drawing","This class excludes:
- casting of non-ferrous metals, see 24.53, 24.54"
"4","24.45","Producción de otros metales no férreos","","","","","2420","This class includes:
- production of chrome, manganese, nickel etc. from ores or oxides
- production of chrome, manganese, nickel etc. from electrolytic and aluminothermic refining of chrome, manganese, nickel etc., waste and scrap
- production of alloys of chrome, manganese, nickel etc.
- semi-manufacture of chrome, manganese, nickel etc.
- production of mattes of nickel","This class also includes:
- manufacture of wire of these metals by drawing","This class excludes:
- casting of non-ferrous metals, see 24.53, 24.54"
"4","24.46","Procesamiento de combustibles nucleares","","","","","2420","This class includes:
- production of uranium metal from pitchblende or other ores
- smelting and refining of uranium","",""
"3","24.5","Fundición de metales","","","","","243","This group includes the manufacture of semi-finished products and various castings by a casting process.","","This group excludes:
- manufacture of finished cast products such as:
  • boilers and radiators, see 25.21
  • cast household items, see 25.99"
"4","24.51","Fundición de hierro","","","","","2431","This class includes activities of iron foundries.

This class includes:
- casting of semi-finished iron products
- casting of grey iron castings
- casting of spheroidal graphite iron castings
- casting of malleable cast-iron products
- manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron","",""
"4","24.52","Fundición de acero","","","","","2431","This class includes activities of steel foundries.

This class includes:
- casting of semi-finished steel products
- casting of steel castings
- manufacture of seamless tubes and pipes of steel by centrifugal casting
- manufacture of tube or pipe fittings of cast-steel","",""
"4","24.53","Fundición de metales ligeros","","","","","2432","This class includes:
- casting of semi-finished products of aluminium, magnesium, titanium, zinc etc.
- casting of light metal castings","",""
"4","24.54","Fundición de otros metales no férreos","","","","","2432","This class includes:
- casting of heavy metal castings
- casting of precious metal castings
- die-casting of non-ferrous metal castings","",""
"2","25","Fabricación de productos metálicos, excepto maquinaria y equipo","","","","","25","This division includes the manufacture of ""pure"" metal products (such as parts, containers and structures), usually with a static, immovable function, as opposed to the following divisions 26-30, which cover the manufacture of combinations or assemblies of such metal products (sometimes with other materials) into more complex units that, unless they are purely electrical, electronic or optical, work with moving parts.","The manufacture of weapons and ammunition is also included in this division.","This division excludes:
- specialised repair and maintenance activities, see 33.1
- specialised installation of manufactured goods produced in this division in buildings, such as central heating boilers, see 43.22"
"3","25.1","Fabricación de elementos metálicos para la construcción","","","","","251","This group includes the manufacture of structural metal products (such as metal frameworks or parts for construction).","",""
"4","25.11","Fabricación de estructuras metálicas y sus componentes","","","","","2511","This class includes:
- manufacture of metal frameworks or skeletons for construction and parts thereof (towers, masts, trusses, bridges etc.)
- manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment etc.)
- manufacture of prefabricated buildings mainly of metal:
  • site huts, modular exhibition elements etc.","","This class excludes:
- manufacture of parts for marine or power boilers, see 25.30
- manufacture of assembled railway track fixtures, see 25.99
- manufacture of sections of ships, see 30.11"
"4","25.12","Fabricación de carpintería metálica","","","","","2511","This class includes:
- manufacture of metal doors, windows and their frames, shutters and gates
- metal room partitions for floor attachment","",""
"3","25.2","Fabricación de cisternas, grandes depósitos y contenedores de metal","","","","","251","This group includes the manufacture of tanks, central heating radiators and boilers.","",""
"4","25.21","Fabricación de radiadores y calderas para calefacción central","","","","","2512","","","This class excludes:
- manufacture of electrical ovens and water heaters, see 27.51"
"4","25.29","Fabricación de otras cisternas, grandes depósitos y contenedores de metal","","","","","2512","This class includes:
- manufacture of reservoirs, tanks and similar containers of metal, of types normally installed as fixtures for storage or manufacturing use
- manufacture of metal containers for compressed or liquefied gas","","This class excludes:
- manufacture of metal casks, drums, cans, pails, boxes etc. of a kind normally used for carrying and packing of goods, of a capacity not exceeding 300 litres, see 25.91, 25.92
- manufacture of transport containers, see 29.20
- manufacture of tanks (armoured military vehicles), see 30.40"
"3","25.3","Fabricación de generadores de vapor, excepto calderas para calefacción central","","","","","251","This group includes the manufacture of steam generators.","",""
"4","25.30","Fabricación de generadores de vapor, excepto calderas para calefacción central","","","","","2513","This class includes:
- manufacture of steam or other vapour generators
- manufacture of auxiliary plant for use with steam generators:
  • condensers, economisers, superheaters, steam collectors and accumulators
- manufacture of nuclear reactors, except isotope separators
- manufacture of parts for marine or power boilers","This class also includes:
- pipe system construction comprising further processing of tubes generally to make pressure pipes or pipe systems together with the associated design and construction work","This class excludes:
- manufacture of central heating hot-water boilers and radiators, see 25.21
- manufacture of boiler-turbine sets, see 28.11
- manufacture of isotope separators, see 28.99"
"3","25.4","Fabricación de armas y municiones","","","","","252","","",""
"4","25.40","Fabricación de armas y municiones","","","","","2520","This class includes:
- manufacture of heavy weapons (artillery, mobile guns, rocket launchers, torpedo tubes, heavy machine guns)
- manufacture of small arms (revolvers, shotguns, light machine guns)
- manufacture of air or gas guns and pistols
- manufacture of war ammunition","This class also includes:
- manufacture of hunting, sporting or protective firearms and ammunition
- manufacture of explosive devices such as bombs, mines and torpedoes","This class excludes:
- manufacture of percussion caps, detonators or signalling flares, see 20.51
- manufacture of cutlasses, swords, bayonets etc., see 25.71
- manufacture of armoured vehicles for the transport of banknotes or valuables, see 29.10
- manufacture of space vehicles, see 30.30
- manufacture of tanks and other fighting vehicles, see 30.40"
"3","25.5","Forja, estampación y embutición de metales; metalurgia de polvos","","","","","259","This group includes general activities for the treatment of metal, such as forging or pressing, which are typically carried out on a fee or contract basis.","",""
"4","25.50","Forja, estampación y embutición de metales; metalurgia de polvos","","","","","2591","This class includes:
- forging, pressing, stamping and roll-forming of metal
- powder metallurgy: production of metal objects directly from metal powders by heat treatment (sintering) or under pressure","","This class excludes:
- production of metal powder, see 24.1, 24.4"
"3","25.6","Tratamiento y revestimiento de metales; ingeniería mecánica por cuenta de terceros","","","","","259","This group includes general activities for the treatment of metal, such as plating, coating, engraving, boring, polishing, welding etc., which are typically carried out on a fee or contract basis.","",""
"4","25.61","Tratamiento y revestimiento de metales","","","","","2592","This class includes:
- plating, anodising etc. of metals
- heat treatment of metals
- deburring, sandblasting, tumbling, cleaning of metals
- colouring, engraving of metals
- non-metallic coating of metals:
  • plasticising, enamelling, lacquering etc.
- hardening, buffing of metals","","This class excludes:
- activities of farriers, see 01.62
- printing onto metals, see 18.12
- metal coating of plastics, see 22.29
- rolling precious metals onto base metals or other metals, see 24.41, 24.42, 24.43, 24.44
- ""while-you-wait"" engraving services, see 95.29"
"4","25.62","Ingeniería mecánica por cuenta de terceros","","","","","2592","This class includes:
- boring, turning, milling, eroding, planing, lapping, broaching, levelling, sawing, grinding, sharpening, polishing, welding, splicing etc. of metalwork pieces
- cutting of and writing on metals by means of laser beams","","This class excludes:
- activities of farriers, see 01.62"
"3","25.7","Fabricación de artículos de cuchillería y cubertería, herramientas y ferretería","","","","","259","This group includes the manufacture of cutlery; metal hand tools and general hardware.","",""
"4","25.71","Fabricación de artículos de cuchillería y cubertería","","","","","2593","This class includes:
- manufacture of domestic cutlery such as knives, forks, spoons etc.
- manufacture of other articles of cutlery:
  • cleavers and choppers
  • razors and razor blades
  • scissors and hair clippers
- manufacture of cutlasses, swords, bayonets etc.","","This class excludes:
- manufacture of hollowware (pots, kettles etc.), dinnerware (bowls, platters etc.) or flatware (plates, saucers etc.), see 25.99
- manufacture of cutlery of precious metal, see 32.12"
"4","25.72","Fabricación de cerraduras y herrajes","","","","","2593","This class includes:
- manufacture of padlocks, locks, keys, hinges and the like, hardware for buildings, furniture, vehicles etc.","",""
"4","25.73","Fabricación de herramientas","","","","","2593","This class includes:
- manufacture of knives and cutting blades for machines or for mechanical appliances
- manufacture of hand tools such as pliers, screwdrivers etc.
- manufacture of non-power-driven agricultural hand tools
- manufacture of saws and saw blades, including circular saw blades and chainsaw blades
- manufacture of interchangeable tools for hand tools, whether or not power-operated, or for machine tools: drills, punches, milling cutters etc.
- manufacture of press tools
- manufacture of blacksmiths' tools: forges, anvils etc.
- manufacture of moulding boxes and moulds (except ingot moulds)
- manufacture of vices, clamps","","This class excludes:
- manufacture of power-driven hand tools, see 28.24
- manufacture of ingot moulds, see 28.91"
"3","25.9","Fabricación de otros productos metálicos","","","","","259","This group includes the manufacture of a variety of metal products, such as cans and buckets; nails, bolts and nuts; metal household articles; metal fixtures; ships propellers and anchors; assembled railway track fixtures etc. for a variety of household and industrial uses.","",""
"4","25.91","Fabricación de bidones y toneles de hierro o acero","","","","","2599","This class includes:
- manufacture of pails, cans, drums, buckets, boxes","","This class excludes:
- manufacture of tanks and reservoirs, see 25.2"
"4","25.92","Fabricación de envases y embalajes metálicos ligeros","","","","","2599","This class includes:
- manufacture of tins and cans for food products, collapsible tubes and boxes
- manufacture of metallic closures","",""
"4","25.93","Fabricación de productos de alambre, cadenas y muelles","","","","","2599","This class includes:
- manufacture of metal cable, plaited bands and similar articles
- manufacture of uninsulated metal cable or insulated cable not capable of being used as a conductor of electricity
- manufacture of coated or cored wire
- manufacture of articles made of wire: barbed wire, wire fencing, grill, netting, cloth etc.
- coated electrodes for electric arc-welding
- manufacture of nails and pins
- manufacture of springs (except watch springs):
  • leaf springs, helical springs, torsion bar springs
  • leaves for springs
- manufacture of chain, except power transmission chain","","This class excludes:
- manufacture of clock or watch springs, see 26.52
- manufacture of wire and cable for electricity transmission, see 27.32
- manufacture of power transmission chain, see 28.15"
"4","25.94","Fabricación de pernos y productos de tornillería","","","","","2599","This class includes:
- manufacture of rivets, washers and similar non-threaded products
- manufacture of screw machine products
- manufacture of bolts, screws, nuts and similar threaded products","",""
"4","25.99","Fabricación de otros productos metálicos n.c.o.p.","","","","","2599","This class includes:
- manufacture of metal household articles:
  • flatware: plates, saucers etc.
  • hollowware: pots, kettles etc.
  • dinnerware: bowls, platters etc.
  • saucepans, frying pans and other non-electrical utensils for use at the table or in the kitchen
  • small hand-operated kitchen appliances and accessories
  • metal scouring pads
- manufacture of building components of zinc: gutters, roof capping, baths, sinks, washbasins and similar articles
- manufacture of metal goods for office use, except furniture
- manufacture of safes, strongboxes, armoured doors etc.
- manufacture of various metal articles:
  • ship propellers and blades thereof
  • anchors
  • bells
  • assembled railway track fixtures
  • clasps, buckles, hooks
  • metal ladder
  • metal signs, including road signs
- manufacture of foil bags
- manufacture of permanent metallic magnets
- manufacture of metal vacuum jugs and bottles
- manufacture of metal badges and metal military insignia
- manufacture of metal hair curlers, metal umbrella handles and frames, combs","","This class excludes:
- manufacture of swords, bayonets, see 25.71
- manufacture of shopping carts, see 30.99
- manufacture of metal furniture, see 31.01, 31.02, 31.09
- manufacture of sports goods, see 32.30
- manufacture of games and toys, see 32.40"
"2","26","Fabricación de productos informáticos, electrónicos y ópticos","","","","Potentiometers (Manufacture of…)

Problem statement: Potentiometers are electric or electronic components, used for instance in radio receivers, controls. Are potentiometers classified to NACE Rev. 2 class 27.90 (manufacture of other electrical equipment or to NACE Rev. 2 class 26.11 (manufacture of electronic components)?

Solution: Conclusion of the NACE/CPA Task Force 13-15 November 2006. Electrical potentiometers are in 27 and electronic potentiometers are in 26.

Decision date: 15.11.2006","26","This division includes the manufacture of computers, computer peripherals, communications equipment, and similar electronic products, as well as the manufacture of components for such products. Production processes of this division are characterised by the design and use of integrated circuits and the application of highly specialised miniaturisation technologies.","The division also contains the manufacture of consumer electronics, measuring, testing and navigating equipment, irradiation, electromedical and electrotherapeutic equipment, optical instruments and equipment, and the manufacture of magnetic and optical media.",""
"3","26.1","Fabricación de componentes electrónicos y circuitos impresos ensamblados","","","","","261","","",""
"4","26.11","Fabricación de componentes electrónicos","","","","Solar energy equipment (Manufacture of...)

Problem statement: To establish the vocabulary and classification for manufacturing solar energy equipment: solar cells, solar modules, solar panels.

Solution: Conclusion of the NACE/CPA Task Force 13-15 November 2006.
A) Manufacturing of solar cells (type of semiconductors), used for direct transforming of solar power into electricity, are to be classified in NACE Rev. 2 class 26.11 Manufacture of electronic components;
B) Manufacture of solar modules, being a set of solar cells, would be classified also in NACE Rev. 2 class 26.11;
C) Manufacture of solar collectors, used for direct heating of water via a water exchanger, are to be classified in NACE Rev. 2 class 28.21 Manufacture of ovens, furnaces and furnace burners.

Decision date: 15.11.2006","2610","This class includes the manufacture of semi-conductors and other components for electronic applications.

This class includes:
- manufacture of capacitors, electronic
- manufacture of resistors, electronic
- manufacture of microprocessors
- manufacture of electron tubes
- manufacture of electronic connectors
- manufacture of bare printed circuit boards
- manufacture of integrated circuits (analog, digital or hybrid)
- manufacture of diodes, transistors and related discrete devices
- manufacture of inductors (e.g. chokes, coils, transformers), electronic component type
- manufacture of electronic crystals and crystal assemblies
- manufacture of solenoids, switches and transducers for electronic applications
- manufacture of dice or wafers, semi-conductor, finished or semi-finished
- manufacture of display components (plasma, polymer, LCD)
- manufacture of light emitting diodes (LED)","This class also includes:
- manufacture of printer cables, monitor cables, USB cables, connectors etc.","This class excludes:
- printing of smart cards, see 18.12
- manufacture of computer and television displays, see 26.20, 26.40
- manufacture of modems (carrier equipment), see 26.30
- manufacture of X-ray tubes and similar irradiation devices, see 26.60
- manufacture of optical equipment and instruments, see 26.70
- manufacture of similar devices for electrical applications, see division 27
- manufacture of fluorescent ballasts, see 27.11
- manufacture of electrical relays, see 27.12
- manufacture of electrical wiring devices, see 27.33
- manufacture of complete equipment is classified elsewhere based on complete equipment classification"
"4","26.12","Fabricación de circuitos impresos ensamblados","","","","","2610","This class includes:
- manufacture of loaded printed circuit boards
- loading of components onto printed circuit boards
- manufacture of interface cards (e.g. sound, video, controllers, network, modems)","","This class excludes:
- printing of smart cards, see 18.12
- manufacture of bare printed circuit boards, see 26.11"
"3","26.2","Fabricación de ordenadores y equipos periféricos","","","","","262","","",""
"4","26.20","Fabricación de ordenadores y equipos periféricos","","","","","2620","This class includes the manufacture and/or assembly of electronic computers, such as mainframes, desktop computers, laptops and computer servers; and computer peripheral equipment, such as storage devices and input/output devices (printers, monitors, keyboards). Computers can be analog, digital, or hybrid. Digital computers, the most common type, are devices that do all of the following: (1) store the processing program or programs and the data immediately necessary for the execution of the program, (2) can be freely programmed in accordance with the requirements of the user, (3) perform arithmetical computations specified by the user and (4) execute, without human intervention, a processing program that requires the computer to modify its execution by logical decision during the processing run. Analog computers are capable of simulating mathematical models and comprise at least analog control and programming elements.

This class includes:
- manufacture of desktop computers
- manufacture of laptop computers
- manufacture of main frame computers
- manufacture of hand-held computers (e.g. PDA)
- manufacture of magnetic disk drives, flash drives and other storage devices
- manufacture of optical (e.g. CD-RW, CD-ROM, DVD-ROM, DVD-RW) disk drives
- manufacture of printers
- manufacture of monitors
- manufacture of keyboards
- manufacture of all types of mice, joysticks, and trackball accessories
- manufacture of dedicated computer terminals
- manufacture of computer servers
- manufacture of scanners, including bar code scanners
- manufacture of smart card readers
- manufacture of virtual reality helmets
- manufacture of computer projectors (video beamers)","This class also includes:
- manufacture of computer terminals, like automatic teller machines (ATM's), point-of-sale (POS) terminals, not mechanically operated
- manufacture of multi-function office equipment performing two or more of following functions: printing, scanning, copying, faxing","This class excludes:
- reproduction of recorded media (computer media, sound, video, etc.), see 18.20
- manufacture of electronic components and electronic assemblies used in computers and peripherals, see 26.1
- manufacture of internal/external computer modems, see 26.12
- manufacture of interface cards, modules and assemblies, see 26.12
- manufacture of loaded electronic boards, see 26.12
- manufacture of modems, carrier equipment, see 26.30
- manufacture of digital communication switches, data communications equipment (e.g. bridges, routers, gateways), see 26.30
- manufacture of consumer electronic devices, such as CD players and DVD players, see 26.40
- manufacture of television monitors and displays, see 26.40
- manufacture of video game consoles, see 26.40
- manufacture of blank optical and magnetic media for use with computers or other devices, see 26.80"
"3","26.3","Fabricación de equipos de telecomunicaciones","","","","","263","","",""
"4","26.30","Fabricación de equipos de telecomunicaciones","","","","","2630","This class includes the manufacture of telephone and data communications equipment used to move signals electronically over wires or through the air such as radio and television broadcast and wireless communications equipment.

This class includes:
- manufacture of central office switching equipment
- manufacture of cordless telephones
- manufacture of private branch exchange (PBX) equipment
- manufacture of telephone and facsimile equipment, including telephone answering machines
- manufacture of data communications equipment, such as bridges, routers, and gateways
- manufacture of transmitting and receiving antenna
- manufacture of cable television equipment
- manufacture of pagers
- manufacture of cellular phones
- manufacture of mobile communication equipment
- manufacture of radio and television studio and broadcasting equipment, including television cameras
- manufacture of modems, carrier equipment
- manufacture of burglar and fire alarm systems, sending signals to a control station
- manufacture of radio and television transmitters
- manufacture of communication devices using infrared signal (e.g. remote controls)","","This class excludes:
- manufacture of electronic components and subassemblies used in communications equipment, including internal/external computer modems, see 26.1
- manufacture of loaded electronic boards, see 26.12
- manufacture of computers and computer peripheral equipment, see 26.20
- manufacture of consumer audio and video equipment, see 26.40
- manufacture of GPS devices, see 26.51
- manufacture of electronic scoreboards, see 27.90
- manufacture of traffic lights, see 27.90"
"3","26.4","Fabricación de productos electrónicos de consumo","","","","","264","","",""
"4","26.40","Fabricación de productos electrónicos de consumo","","","","","2640","This class includes the manufacture of electronic audio and video equipment for home entertainment, motor vehicle, public address systems and musical instrument amplification.

This class includes:
- manufacture of video cassette recorders and duplicating equipment
- manufacture of televisions
- manufacture of television monitors and displays
- manufacture of audio recording and duplicating systems
- manufacture of stereo equipment
- manufacture of radio receivers
- manufacture of speaker systems
- manufacture of household-type video cameras
- manufacture of jukeboxes
- manufacture of amplifiers for musical instruments and public address systems
- manufacture of microphones
- manufacture of CD and DVD players
- manufacture of karaoke machines
- manufacture of headphones (e.g. radio, stereo, computer)
- manufacture of video game consoles","","This class excludes:
- reproduction of recorded media (computer media, sound, video, etc.), see 18.2
- manufacture of computer peripheral devices and computer monitors, see 26.20
- manufacture of telephone answering machines, see 26.30
- manufacture of paging equipment, see 26.30
- manufacture of remote control devices (radio and infrared), see 26.30
- manufacture of broadcast studio equipment such as reproduction equipment, transmitting and receiving antennas, commercial video cameras, see 26.30
- manufacture of antennas, see 26.30
- manufacture of digital cameras, see 26.70
- manufacture of electronic games with fixed (non-replaceable) software, see 32.40"
"3","26.5","Fabricación de instrumentos y aparatos de medida, verificación y navegación; fabricación de relojes","","","","","265","This group includes the manufacture of measuring, testing and navigating equipment for various industrial and non-industrial purposes, including time-based measuring devices such as watches and clocks and related devices.","",""
"4","26.51","Fabricación de instrumentos y aparatos de medida, verificación y navegación","Esta clase comprende la fabricación de sistemas e instrumentos de búsqueda, detección, navegación, orientación, aeronáuticos y náuticos; reguladores y controles automáticos para aplicaciones, como la calefacción, el aire acondicionado, la refrigeración y diversos electrodomésticos; instrumentos y dispositivos para medir, visualizar, indicar, registrar, transmitir y controlar la temperatura, humedad, presión, vacío, combustión, flujo, nivel, viscosidad, densidad, acidez, concentración o rotación; contadores y medidores de fluidos de totalización (es decir, de registro); instrumentos para la medición y la comprobación de las características de la electricidad y las señales eléctricas; instrumentos y sistemas de instrumentación para el análisis de laboratorio de la concentración o la composición química o física de muestras de materiales sólidos, líquidos, gaseosos o compuestos; otros instrumentos de medición y comprobación y partes de los mismos.
Esta categoría comprende la fabricación de equipos de medida verificación y navegación no eléctricos (excepto las herramientas mecánicas simples).

Esta clase comprende:
- la fabricación de instrumentos para motores de aviación
- la fabricación de equipos de comprobación de emisiones de gases de automoción
- la fabricación de instrumentos meteorológicos
- la fabricación de equipos de comprobación e inspección de las propiedades físicas
- la fabricación de polígrafos
- la fabricación de instrumentos de detección y vigilancia de radiaciones
- la fabricación de instrumentos de geodesia
- la fabricación de termómetros de vidrio relleno de líquido y bimetálicos (excepto de uso médico)
- la fabricación de higrostatos
- la fabricación de controles de límite hidrónico
- la fabricación de controles de llama y de quemadores
- la fabricación de espectrómetros
- la fabricación de comparadores de aire comprimido
- la fabricación de contadores de consumo (p. ej., agua, gas, electricidad)
- la fabricación de caudalímetros y contadores de suministro
- la fabricación de totalizadores
- la fabricación de detectores de minas, generadores de impulsos (señales); detectores de metal
- la fabricación de equipos de búsqueda, detección, navegación, aeronáuticos y náuticos, incluidas sonoboyas
- la fabricación de dispositivos GPS
- la fabricación de controles medioambientales y controles automáticos para diversos aparatos
- la fabricación de equipos de medición y registro (p. ej., registradores de parámetros de vuelo)
- la fabricación de detectores de movimiento
- la fabricación de radares
- la fabricación de instrumentos analíticos de laboratorio (p. ej., equipos para análisis de sangre)
- la fabricación de platillos, balanzas, incubadoras y otros aparatos de laboratorio para medición, comprobación, etc.","","Esta clase no comprende:
- la fabricación de contestadores telefónicos automáticos (véase 26.30)
- la fabricación de equipos de radiación (véase 26.60)
- la fabricación de equipos de posicionamiento óptico (véase 26.70)
- la fabricación de dictáfonos (véase 28.23)
- la fabricación de básculas (excluidas las balanzas de laboratorio), niveles, cintas métricas, etc. (véase 28.29)
- la fabricación de termómetros médicos (véase 32.50)
- la instalación de equipos de control de procesos industriales (véase 33.20)
- la fabricación de herramientas de medición mecánica sencillas (p. ej., cintas métricas, calibradores) (véase la clase de fabricación de acuerdo con el material principal utilizado)","","2651","This class comprises manufacture of search, detection, navigation, guidance, aeronautical, and nautical systems and instruments; automatic controls and regulators for applications, such as heating, air-conditioning, refrigeration and appliances; instruments and devices for measuring, displaying, indicating, recording, transmitting, and controlling temperature, humidity, pressure, vacuum, combustion, flow, level, viscosity, density, acidity, concentration, and rotation; totalising (i.e., registering) fluid meters and counting devices; instruments for measuring and testing the characteristics of electricity and electrical signals; instruments and instrumentation systems for laboratory analysis of the chemical or physical composition or concentration of samples of solid, fluid, gaseous, or composite material; other measuring and testing instruments and parts thereof.

The manufacture of non-electric measuring, testing and navigating equipment (except simple mechanical tools) is included here.

This class includes:
- manufacture of aircraft engine instruments
- manufacture of automotive emissions testing equipment
- manufacture of meteorological instruments
- manufacture of physical properties testing and inspection equipment
- manufacture of polygraph machines
- manufacture of radiation detection and monitoring instruments
- manufacture of surveying instruments
- manufacture of thermometers liquid-in-glass and bimetal types (except medical)
- manufacture of humidistats
- manufacture of hydronic limit controls
- manufacture of flame and burner control
- manufacture of spectrometers
- manufacture of pneumatic gauges
- manufacture of consumption meters (e.g., water, gas, electricity)
- manufacture of flow meters and counting devices
- manufacture of tally counters
- manufacture of mine detectors, pulse (signal) generators; metal detectors
- manufacture of search, detection, navigation, aeronautical, and nautical equipment, including sonobuoys
- manufacture of radar equipment
- manufacture of GPS devices
- manufacture of environmental controls and automatic controls for appliances
- manufacture of measuring and recording equipment (e.g. flight recorders)
- manufacture of motion detectors
- manufacture of radars
- manufacture of laboratory analytical instruments (e.g. blood analysis equipment)
- manufacture of laboratory scales, balances, incubators, and miscellaneous laboratory apparatus for measuring, testing, etc.","","This class excludes:
- manufacture of telephone answering machines, see 26.30
- manufacture of irradiation equipment, see 26.60
- manufacture of optical positioning equipment, see 26.70
- manufacture of dictating machines, see 28.23
- manufacture of weighing machinery (other than sensitive laboratory balances), levels, tape measures etc., see 28.29
- manufacture of medical thermometers, see 32.50
- installation of industrial process control equipment, see 33.20"
