"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ","Tato sekce zahrnuje činnosti spojené s využíváním rostlinných a živočišných přírodních zdrojů. Patří sem činnosti jako pěstování zemědělských plodin, chov hospodářských zvířat, těžba dřeva a výroba jiných rostlinných a živočišných produktů v zemědělských podnicích nebo jejich získávání z volné přírody.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","13.95","Výroba netkaných textilií a výrobků z nich, kromě oděvů","Tato třída zahrnuje všechny činnosti související s výrobou textilií a textilních výrobků, neuvedené jinde v oddílech 13 nebo 14, a které obsahují velký počet výrobních postupů a množství různých výrobků.","","","","1399","This class includes all activities related to the manufacture of textiles or textile products, not specified elsewhere in division 13 or 14, involving a large number of processes and a great variety of goods produced.","",""
"4","13.96","Výroba ostatních technických a průmyslových textilií","Z:
- výrobu pásů a stuh včetně bezútkových textilií, vyrobených s použitím lepidel
- výrobu štítků, nálepek, odznaků atd.
- výrobu ornamentálních ozdob: stuh, prýmků, střapců, bambulí atd.
- výrobu tkanin impregnovaných, potažených, opředených nebo laminovaných plasty
- výrobu metalizovaných vláken nebo metalizovaných přízí, gumových nití (vláken) a motouzů opředených textilními vlákny, textilních vláken nebo pruhů textilu opředených, impregnovaných, potažených nebo zesílených pryží nebo plasty
- výrobu kordové tkaniny pro pneumatiky z vysoce odolných přízí z umělých vláken
- výrobu jiných impregnovaných nebo potažených tkanin: tuhá plátna a podobné vyztužené textilní tkaniny potažené gumou nebo škrobovitými substancemi
- výrobu rozmanitých textilních výrobků: knoty, žárové punčošky (žhavící vlákna do plynových svítidel)
- výrobu potahovaných tkanin, hadicového vedení, hnacích řemenů nebo řemenových pohonů (také zesílených kovy nebo jinými materiály), nosné a napínací tkaniny
- výrobu textilních výrobků pro vybavení motorových vozidel","","N:
- výrobu dopravníkových pásů a hnacích řemenů z vláken, příze nebo kordu, impregnovaných, potažených nebo laminovaných pryží, představuje-li pryž hlavní součást (22.19)
- výrobu desek anebo tabulí z lehčené pryže nebo lehčených plastů, které jsou textilem pouze zesílené (22.19, 22.21)
- výrobu tkanin s vetkaným kovovým drátem (25.93)","","1399","This class includes:
- manufacture of narrow woven fabrics, including fabrics consisting of warp without weft assembled by means of an adhesive
- manufacture of labels, badges etc.
- manufacture of ornamental trimmings: braids, tassels, pompons etc.
- manufacture of fabrics impregnated, coated, covered or laminated with plastics
- manufacture of metallised yarn or metallised gimped yarn, rubber thread and cord covered with textile material, textile yarn or strip covered, impregnated, coated or sheathed with rubber or plastics
- manufacture of tyre cord fabric of high-tenacity man-made yarn
- manufacture of other treated or coated fabrics: buckram and similar stiffened textile fabrics, fabrics coated with gum or amylaceous substances
- manufacture of diverse textile articles: textile wicks, incandescent gas mantles and tubular gas
- manufacture of mantle fabric, hosepiping, transmission or conveyor belts or belting (whether or not reinforced with metal or other material), bolting cloth, straining cloth
- manufacture of automotive trimmings
- manufacture of artists' canvas boards and tracing cloth","","This class excludes:
- manufacture of transmission or conveyor belts of textile fabric, yarn or cord impregnated, coated, covered or laminated with rubber, where rubber is the chief constituent, see 22.19
- manufacture of plates or sheets of cellular rubber or plastic combined with textiles for reinforcing purposes only, see 22.19, 22.21
- manufacture of cloth of woven metal wire, see 25.93"
"4","13.99","Výroba ostatních textilií j. n.","Z:
- výrobu plstí
- výrobu tylů a jiných síťových tkanin, typu krajek (tkanic, prýmků) a výšivek v kuse, pásech nebo motivech
- výrobu samolepicích textilních pásek
- výrobu textilních tkanic do obuvi
- výrobu labutěnek (pudřenek) a rukavic","","N:
- výrobu podlahových krytin z jehlové plsti (13.93)
- výrobu vatelínů a výrobků z vaty: menstruačních vložek, tamponů atd. (17.22)","","1399","This class includes:
- manufacture of felt
- manufacture of tulles and other net fabrics, and of lace and embroidery, in the piece, in strips or in motifs
- manufacture of pressure sensitive cloth-tape
- manufacture of shoe-lace, of textiles
- manufacture of powder puffs and mitts","","This class excludes:
- manufacture of needle-loom felt floor coverings, see 13.93
- manufacture of textile wadding and articles of wadding: sanitary towels, tampons etc., see 17.22"
"2","14","Výroba oděvů","Tento oddíl zahrnuje všechny krejčovské práce (konfekční oděvy nebo oděvy na míru) ze všech materiálů (např. kůže, tkaniny, háčkovaných a pletených materiálů), pro všechny jednotlivé části oděvů (např. svrchní ošacení, pánské, dámské anebo dětské prádlo, pracovní oděvy, vycházkové oblečení nebo oblečení pro volný čas) a doplňky. Přitom se nerozlišuje mezi oděvy pro dospělé a dětskými oděvy nebo mezi moderním a tradičním oblečením.","Oddíl 14 také zahrnuje kožešnický průmysl (kožešiny a kožešinové oděvy).","","","14","This division includes all tailoring (ready-to-wear or made-to-measure), in all materials (e.g. leather, fabric, knitted and crocheted fabrics etc.), of all items of clothing (e.g. outerwear, underwear for men, women or children; work, city or casual clothing etc.) and accessories. There is no distinction made between clothing for adults and clothing for children, or between modern and traditional clothing.","Division 14 also includes the fur industry (fur skins and wearing apparel).",""
"3","14.1","Výroba oděvů, kromě kožešinových výrobků","Tato skupina zahrnuje výrobu oděvů. Pro tuto výrobu mohou být používány materiály všeho druhu, které mohou být také potažené, impregnované nebo pogumované.","","","","141","This group includes manufacture of wearing apparel. The material used may be of any kind and may be coated, impregnated or rubberised.","",""
"4","14.11","Výroba kožených oděvů","Z:
- výrobu oděvů z kůže nebo kompozice kůže , včetně pracovních ochranných oděvů jako kožené zástěry pro svářeče","","N:
- výrobu kožešinových oděvů (14.20)
- výrobu sportovních kožených rukavic a sportovních pokrývek hlavy (32.30)
- výrobu žáruvzdorných ochranných bezpečnostních oděvů (32.99)","","1410","This class includes:
- manufacture of wearing apparel made of leather or composition leather including leather industrial work accessories as welder's leather aprons","","This class excludes:
- manufacture of fur wearing apparel, see 14.20
- manufacture of leather sports gloves and sports headgear, see 32.30
- manufacture of fire-resistant and protective safety clothing, see 32.99"
"4","14.12","Výroba pracovních oděvů","","","N:
- výrobu obuvi (15.20)
- výrobu žáruvzdorných ochranných bezpečnostních oděvů (32.99)
- opravy oděvů (95.29)","","1410","","","This class excludes:
- manufacture of footwear, see 15.20
- manufacture of fire-resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29"
"4","14.13","Výroba ostatních svrchních oděvů","Z:
- výrobu ostatního pánského, dámského a dětského svrchního ošacení z tkaných, pletených nebo háčkovaných materiálů, netkaných látek atd.:
• plášťů, obleků, kompletů, saka (bundy, kabátky), vest, kalhot, sukní atd.","ZT:
- šití oděvů na zakázku
- výrobu částí výše uvedených výrobků","N:
- výrobu oděvů z kožešin (kromě pokrývek hlavy) (14.20)
- výrobu oděvů z pryže nebo plastů, které nejsou sešité, nýbrž pouze svařené nebo lepené (22.19, 22.29)
- výrobu ohnivzdorných ochranných oděvů (32.99)
- opravy oděvů (95.29)","Textile fabrics (Cutting up of…)

Problem statement: Where do we classify the (usually outsourced) cutting up of textile fabrics?

Units receive from the principal on a subcontracting basis textile fabrics fur cutting up, by using automats, such as laser equipment. The aim is to optimise the various parts to be cut and to minimise the scraps. All they do is to cut up the fabrics supplied by the principal and to return the cut up parts to the principal.

Historically this activity is carried out by the manufacturer of the apparel and this outsourced part of the manufacturing process is a part of the manufacture of wearing apparel in division 14. Within division 14 and group 14.1 it could be any of the classes 14.12 to 14.19, depending on the type of wearing apparel ultimately to be produced from those cut up fabrics, but the subcontractor normally does not have information on the final use of the textile parts.

Solution: As the majority of the clothing covered in classes 14.12 to 14.19 would be in class 14.13 (manufacture of other outerwear) the outsourced cutting up of textile fabrics should subsequently also be classified to class 14.13.

The inclusions to class 14.13 also mention ""manufacture of parts of the products listed"".

Decision date: 03.12.2008","1410","This class includes:
- manufacture of other outerwear made of woven, knitted or crocheted fabric, non-wovens etc. for men, women and children:
  • coats, suits, ensembles, jackets, trousers, skirts etc.","This class also includes:
- custom tailoring
- manufacture of parts of the products listed","This class excludes:
- manufacture of wearing apparel of fur skins (except headgear), see 14.20
- manufacture of wearing apparel of rubber or plastics not assembled by stitching but merely sealed together, see 22.19, 22.29
- manufacture of fire-resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29"
"4","14.14","Výroba osobního prádla","Z:
- výrobu spodního a nočního prádla z tkaných, pletených nebo háčkovaných materiálů, krajek atd. pro muže, ženy a děti:
• košil, triček, spodků, kalhotek, pyžam, nočních košil, županů, blůz, slipů, podprsenek, korzetů atd.","","N:
- opravy oděvů (95.29)","","1410","This class includes:
- manufacture of underwear and nightwear made of woven, knitted or crocheted fabric, lace etc. for men, women and children:
  • shirts, T-shirts, underpants, briefs, pyjamas, nightdresses, dressing gowns, blouses, slips, brassieres, corsets etc.","","This class excludes:
- repair of wearing apparel, see 95.29"
"4","14.19","Výroba ostatních oděvů a oděvních doplňků","Z:
- výrobu kojeneckého oblečení, teplákových souprav, lyžařského oblečení, plavek atd.
- výrobu klobouků a čepic
- výrobu ostatních oděvních doplňků: rukavic, pasků, šál, kravat, sítěk na vlasy atd.","ZT:
- výrobu pokrývek hlavy z kožešin
- výroba obuvi z textilních materiálů bez podrážek
- výrobu částí výše uvedených výrobků","N:
- výrobu sportovních pokrývek hlavy (32.30)
- výrobu bezpečnostních pokrývek hlavy (kromě sportovních pokrývek hlavy) (32.99)
- výrobu ohnivzdorných ochranných oděvů (32.99)
- opravy oděvů (95.29)","","1410","This class includes:
- manufacture of babies' garments, tracksuits, ski suits, swimwear etc.
- manufacture of hats and caps
- manufacture of other clothing accessories: gloves, belts, shawls, ties, cravats, hairnets etc.","This class also includes:
- manufacture of headgear of fur skins
- manufacture of footwear of textile material without applied soles
- manufacture of parts of the products listed","This class excludes:
- manufacture of sports headgear, see 32.30
- manufacture of safety headgear (except sports headgear), see 32.99
- manufacture of fire-resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29"
"3","14.2","Výroba kožešinových výrobků","","","","","142","","",""
"4","14.20","Výroba kožešinových výrobků","Z:
- výrobu kožešinových výrobků:
• kožešinových oděvů a oděvních doplňků
• zpracovaných odstřižků kožešin, „bodies“, obložení, pásů atd.
• různých výrobků z kožešin: koberečků, předložek, nevycpaných polštářů sedadel, (taburetů), hadrů používaných k leštění v průmyslu","","N:
- produkci surových nezpracovaných kožešin (01.4, 01.70)
- produkci surových kůží, usní (10.11)
- výrobu kožešinových imitací (látek s dlouhým vlasem připravovaných tkaním nebo pletením) (13.20, 13.91)
- výrobu kožešinových klobouků (14.19)
- výrobu oděvů zdobených kožešinou (14.19)
- úpravu a barvení kožešin (15.11)
- výrobu holinek nebo obuvi zdobených část. kožešinou (15.20)","","1420","This class includes:
- manufacture of articles made of fur skins:
  • fur wearing apparel and clothing accessories
  • assemblies of fur skins such as ""dropped"" fur skins, plates, mats, strips etc.
  • diverse articles of fur skins: rugs, unstuffed pouffes, industrial polishing cloths","","This class excludes:
- production of raw fur skins, see 01.4, 01.70
- production of raw hides and skins, see 10.11
- manufacture of imitation furs (long-hair cloth obtained by weaving or knitting), see 13.20, 13.91
- manufacture of fur hats, see 14.19
- manufacture of apparel trimmed with fur, see 14.19
- dressing and dyeing of fur, see 15.11
- manufacture of boots or shoes containing fur parts, see 15.20"
"3","14.3","Výroba pletených a háčkovaných oděvů","","","","","143","","",""
"4","14.31","Výroba pletených a háčkovaných punčochových výrobků","Z:
- výrobu punčochových výrobků jako ponožek, podkolenek, punčoch a punčocháčů","","","","1430","This class includes:
- manufacture of hosiery, including socks, tights and pantyhose","",""
"4","14.39","Výroba ostatních pletených a háčkovaných oděvů","Z:
- výrobu oděvů a jiného konfekčního zboží pletením nebo háčkováním (do hotového tvaru):
• pulovrů, vest, svetrů a podobných výrobků","","N:
- výrobu háčkovaných a pletených materiálů (13.91)
- výroba punčochových výrobků (14.31)","","1430","This class includes:
- manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape: pullovers, cardigans, jerseys, waistcoats and similar articles","","This class excludes:
- manufacture of knitted and crocheted fabrics, see 13.91
- manufacture of hosiery, see 14.31"
"2","15","Výroba usní a souvisejících výrobků","Tento oddíl zahrnuje úpravy a barvení kožešin a zpracování kůží na usně činěním nebo konzervováním a další úpravou a zpracováním kůže na spotřební předměty.","Kromě toho zahrnuje výrobu obdobných výrobků z jiných materiálů (umělé kůže nebo náhražky kůže), např. gumovou obuv, textilní zavazadla. Výrobky z náhražky kůže jsou zde zařazeny, protože se výrobní postup používaný při jejich výrobě podobá postupu výroby výrobků z usní (např. cestovních zavazadel) a tyto výrobky se často vyrábějí ve stejném závodě.","","","15","This division includes dressing and dyeing of fur and the transformation of hides into leather by tanning or curing and fabricating the leather into products for final consumption.","It also includes the manufacture of similar products from other materials (imitation leathers or leather substitutes), such as rubber footwear, textile luggage etc. The products made from leather substitutes are included here, since they are made in ways similar to those in which leather products are made (e.g. luggage) and are often produced in the same unit.",""
"3","15.1","Činění a úprava usní (vyčiněných kůží); výroba brašnářských a sedlářských výrobků; zpracování a barvení kožešin","Tato skupina zahrnuje výrobu kůží a kožešin a výrobků z nich","","","","151","This group includes the manufacture of leather and fur and products thereof.","",""
"4","15.11","Činění a úprava usní (vyčiněných kůží); zpracování a barvení kožešin","Z:
- činění, barvení a úpravu kůží a kožek
- výrobu semišové (jelenicové), pergamenové a lakové úsně nebo usně s metalickým efektem
- výrobu kompozitních kůží
- třídění (koženého odpadu), činění, bělení, stříhání, rupování a barvení kožešin a surových kožek (ještě nezbavených chlupů","","N:
- produkci kůží a kožek při živočišné výrobě (01.4)
- produkci kůží a kožek na jatkách (10.11)
- výrobu kožených oděvů (14.11)
- výrobu imitace kůže (22.19, 22.29","","1511","This class includes:
- tanning, dyeing and dressing of hides and skins
- manufacture of chamois dressed, parchment dressed, patent or metallised leathers
- manufacture of composition leather
- scraping, shearing, plucking, currying, tanning, bleaching and dyeing of fur skins and hides with the hair on","","This class excludes:
- production of hides and skins as part of ranching, see 01.4
- production of hides and skins as part of slaughtering, see 10.11
- manufacture of leather apparel, see 14.11
- manufacture of imitation leather not based on natural leather, see 22.19, 22.29"
"4","15.12","Výroba brašnářských, sedlářských a podobných výrobků","Z:
- výrobu kufrů, kabelek a jiných výrobků z kůže, umělé kůže nebo jiných materiálů jako plastových folií, textilních materiálů, vulkanizovaných vláken nebo lepenky, kde se používá stejná technologie jako při výrobě výrobků z kůže
 - výrobu sedlářských výrobků a popruhů
- výrobu nekovových pásků k náramkovým hodinkám (např. z látky, usní, plastů)
- výrobu různých výrobků z usní nebo umělé kůže: hnací řemeny, ploché těsnění atd.
- výrobu tkaniček do bot, z usní
- výrobu jezdeckých a jiných bičů","","N:
- výrobu kožených oděvů (14.11)
- výrobu kožených rukavic a klobouků (14.19)
- výrobu obuvi (15.20)
- výrobu sedel na jízdní kola (30.92)
- výrobu pásků k náramkovým hodinkám z drahých kovů (32.12)
- výrobu pásků k náramkovým hodinkám z obecných kovů (32.13)
- výrobu bezpečnostních pásů pro pochůzkáře (žel.) a jiných pásů používaných pro výkon povolání (32.99)","","1512","This class includes:
- manufacture of luggage, handbags and the like, of leather, composition leather or any other material, such as plastic sheeting, textile materials, vulcanised fibre or paperboard, where the same technology is used as for leather
- manufacture of saddlery and harness
- manufacture of non-metallic watch bands (e.g. fabric, leather, plastic)
- manufacture of diverse articles of leather or composition leather: driving belts, packings etc.
- manufacture of shoe-lace, of leather
- manufacture of horse whips and riding crops","","This class excludes:
- manufacture of leather wearing apparel, see 14.11
- manufacture of leather gloves and hats, see 14.19
- manufacture of footwear, see 15.20
- manufacture of saddles for bicycles, see 30.92
- manufacture of precious metal watch bands, see 32.12
- manufacture of non-precious metal watch bands, see 32.13
- manufacture of linemen's safety belts and other belts for occupational use, see 32.99"
"3","15.2","Výroba obuvi","","","","","152","","",""
"4","15.20","Výroba obuvi","Z:
- výrobu obuvi pro všechny účely, z jakéhokoliv materiálu, za použití jakéhokoliv postupu včetně lití (výjimky níže)
- výrobu dílů obuvi z usní: svršků a částí svršků, vnějších i vnitřních podrážek, podpatků atd.
- výrobu natahovacích holínek, kamaší apod.","","N:
- výrobu obuvi z textilních vláken bez podrážek (14.19)
- výrobu dílů obuvi ze dřeva (např. podpatků a kopyt) (16.29)
- výrobu podpatků a podrážek pro holínky a obuv z pryže jakož i jiných dílů obuvi z gumy (pryže) (22.19)
- výrobu dílů obuvi z plastů (22.29)
- výrobu lyžařské obuvi (32.30)
- výrobu ortopedické obuvi (32.50)","Boots/shoes (of rubber)

Problem statement: Where are ""rubber boots/shoes"" classified?

Solution: Conclusion of the NACE/CPA Task Force 13-15 November 2006. ""Rubber boots/shoes"" are classified to NACE Rev. 2 class 15.20.

Decision date: 15.11.2006","1520","This class includes:
- manufacture of footwear for all purposes, of any material, by any process, including moulding (see below for exceptions)
- manufacture of leather parts of footwear: manufacture of uppers and parts of uppers, outer and inner soles, heels etc.
- manufacture of gaiters, leggings and similar articles","","This class excludes:
- manufacture of footwear of textile material without applied soles, see 14.19
- manufacture of wooden shoe parts (e.g. heels and lasts), see 16.29
- manufacture of rubber boot and shoe heels and soles and other rubber footwear parts, see 22.19
- manufacture of plastic footwear parts, see 22.29
- manufacture of ski-boots, see 32.30
- manufacture of orthopaedic shoes, see 32.50"
"2","16","Zpracování dřeva, výroba dřevěných a korkových výrobků, kromě nábytku; výroba proutěných a slaměných výrobků","Tento oddíl zahrnuje výrobu dřevěných výrobků jako jsou stavební dřevo, překližky, dýhy, dřevěné kontejnery a nádoby, řezivo (připravené k prodeji), podlahové krytiny, příhradové nosníky, prefabrikované dřevěné části budov nebo celky. Výrobní postupy zahrnují řezání pilkou, hoblování, obrábění, laminování a sestavování dřevěných výrobků. Na začátku takového výrobního postupu je kulatina rozřezaná na polena nebo stavební dřevo, které může být dále řezáno nebo obráběno soustruhy či jinými tvarovacími stroji. Stavební dřevo nebo jiné opracované tvary dřeva mohou být následně ještě hoblovány nebo hlazeny a kompletovány do konečných výrobků jako obaly a dřevěné kontejnery. S výjimkou zpracování na pile je tento oddíl dále členěn v zásadě hlavně podle specifických výrobků.","","Nezahrnuje výrobu nábytku (31.0), nebo montáž dřevěných spojovacích prvků apod. (43.32, 43.33, 43.39).","","16","This division includes the manufacture of wood products, such as lumber, plywood, veneers, wood containers, wood flooring, wood trusses, and prefabricated wood buildings. The production processes include sawing, planing, shaping, laminating, and assembling of wood products starting from logs that are cut into bolts, or lumber that may then be cut further, or shaped by lathes or other shaping tools. The lumber or other transformed wood shapes may also be subsequently planed or smoothed, and assembled into finished products, such as wood containers.

With the exception of sawmilling, this division is subdivided mainly based on the specific products manufactured.","","This division does not include the manufacture of furniture (31.0), or the installation of wooden fittings and the like (43.32, 43.33, 43.39)."
"3","16.1","Výroba pilařská a impregnace dřeva","","","","","161","","",""
"4","16.10","Výroba pilařská a impregnace dřeva","Z:
- řezání pilou, hoblování a jiné strojní obrábění dřeva
- krájení na plát, dělení nebo rozřezání na třísky, hobliny
- výrobu dřevěných železničních pražců
- výrobu podlahové krytiny ze dřeva, nemontované, nekompletované
- výrobu dřevité vlny, dřevité moučky, třísek, pilin","ZT:
- sušení dřeva
- impregnaci anebo chemickou úpravu dřeva konzervačními nebo jinými hmotami","N:
- těžbu a produkci surového dřeva (02.20)
- výrobu dýh dostatečně tenkých pro zpracování na překližky, desky a panely (16.21)
- výrobu šindelů, obrub, obkladů a lišt (16.23)
- výrobu palivového dřeva nebo lisovaného dřeva (16.29)","","1610","This class includes:
- sawing, planing and machining of wood
- slicing, peeling or chipping logs
- manufacture of wooden railway sleepers
- manufacture of unassembled wooden flooring
- manufacture of wood wool, wood flour, chips, particles","This class also includes:
- drying of wood
- impregnation or chemical treatment of wood with preservatives or other materials","This class excludes:
- logging and production of wood in the rough, see 02.20
- manufacture of veneer sheets thin enough for use in plywood, boards and panels, see 16.21
- manufacture of shingles and shakes, beadings and mouldings, see 16.23
- manufacture of fire logs or pressed wood, see 16.29"
"3","16.2","Výroba dřevěných, korkových, proutěných a slaměných výrobků","Tato skupina zahrnuje výrobu dřevěných, korkových, proutěných anebo slaměných výrobků, a to jak v základních formách tak ve formě sestavených, kompletovaných výrobků.","","","","162","This group includes the manufacture of products of wood, cork, straw or plaiting materials, including basic shapes as well as assembled products.","",""
"4","16.21","Výroba dýh a desek na bázi dřeva","Z:
- výrobu dýh, které jsou dostatečně tenké a vyhovují pro dýhování, zpracování na překližky nebo k jiným účelům:
• hlazené, barvené, potahované, impregnované, vyztužené (na zadní straně papírem nebo tkaninou)
• zpracování formou motivů
- výrobu překližek, dýhovaných desek (panelů) a podobných vrstvených (laminátových) dřevěných desek a listů
- výrobu OSB desek (její štěpky jsou složené do 3 vrstev k sobě kolmo orientované)a jiných dřevotřískových desek
- výrobu středně silných dřevovláknitých izolačních desek (MDF) a jiných dřevovláknitých desek
- výrobu zhuštěného dřeva
- výrobu klíženého vrstveného dřeva, vrstvených dřevěných dýh","","","","1621","This class includes:
- manufacture of veneer sheets thin enough to be used for veneering, making plywood or other purposes:
  • smoothed, dyed, coated, impregnated, reinforced (with paper or fabric backing)
  • made in the form of motifs
- manufacture of plywood, veneer panels and similar laminated wood boards and sheets
- manufacture of oriented strand board (OSB) and other particle board
- manufacture of medium density fibreboard (MDF) and other fibreboard
- manufacture of densified wood
- manufacture of glue laminated wood, laminated veneer wood","",""
"4","16.22","Výroba sestavených parketových podlah","Z:
- výrobu dřevěných parketových podlahových bloků, pásů atd., sestavených do panelů","","N:
- výrobu podlahových krytin ze dřeva, nesestavených (16.10)","","1622","This class includes:
- manufacture of wooden parquet floor blocks, strips etc., assembled into panels","","This class excludes:
- manufacture of unassembled wooden floors, see 16.10"
"4","16.23","Výroba ostatních výrobků stavebního truhlářství a tesařství","Z:
- výrobu dřevěných výrobků určených především pro použití ve stavebnictví:
• trámů, nosníků, krokví a vaznic
• klížených, vrstvených a kovem spojených, prefabrikovaných dřevěných konstrukcí krovů
• dveří, oken, okenic a jejich rámů, bez nebo s kováním, např. panty, závěsy, čepy, zámky
• schodů, zábradlí (plotů, ohrad)
• dřevěných lišt a vlisů, krytinových desek a šindelů
- výrobu prefabrikovaných celků budov nebo částí, převážně ze dřeva, např. saun
- výrobu mobilních domků
- výrobu příček ze dřeva (kromě volně stojících)","","N:
- výrobu kuchyňských, šatních skříní, knihoven atd. (31.01, 31.02, 31.09)
- výrobu volně stojících příček ze dřeva (31.01, 31.02, 31.09)","","1622","This class includes:
- manufacture of wooden goods intended to be used primarily in the construction industry:
  • beams, rafters, roof struts
  • glue-laminated and metal connected, prefabricated wooden roof trusses
  • doors, windows, shutters and their frames, whether or not containing metal fittings, such as hinges, locks etc.
  • stairs, railings
  • wooden beadings and mouldings, shingles and shakes
- manufacture of prefabricated buildings, or elements thereof, predominantly of wood, e.g. saunas
- manufacture of mobile homes
- manufacture of wood partitions (except free standing)","","This class excludes:
- manufacture of kitchen cabinets, bookcases, wardrobes etc., see 31.01, 31.02, 31.09
- manufacture of wood partitions, free standing, see 31.01, 31.02, 31.09"
"4","16.24","Výroba dřevěných obalů","Z:
- výrobu balicích beden, krabic, přepravek, bubnů a podobných dřevěných obalů
- výrobu palet a jiných desek ze dřeva pro nakládání
- výrobu sudů, cisteren, kádí, věder a jiných bednářských výrobků ze dřeva
- výrobu dřevěných kabelových (lanových) bubnů","","N:
- výrobu kufrů (15.12)
- výrobu beden z proutí a podobných materiálů (16.29)","","1623","This class includes:
- manufacture of packing cases, boxes, crates, drums and similar packings of wood
- manufacture of pallets, box pallets and other load boards of wood
- manufacture of barrels, vats, tubs and other coopers' products of wood
- manufacture of wooden cable-drums","","This class excludes:
- manufacture of luggage, see 15.12
- manufacture of cases of plaiting material, see 16.29"
"4","16.29","Výroba ostatních dřevěných výrobků, kromě nábytku; výroba ostatních korkových, proutěných a slaměných výrobků","Z:
- výrobu různých dřevěných výrobků:
• držáků a násad pro nářadí, na košťata, na kartáče
• obuvnických a ševcovských kopyt, napínáků obuvi, ramínek na šaty
• kuchyňského nádobí pro domácnost ze dřeva
• dřevěných sošek a ozdob, intarzií, vykládaných dřevem
• dřevěných pouzder a skříněk na šperky, příbory a podobné výrobky
• dřevěných cívek, vřeten, špulek, navijáků nití a podobných výrobků z osoustruženého dřeva
• jiných dřevěných výrobků
- zpracování přírodního korku, výrobu aglomerovaného korku
- výrobu výrobků z přírodního nebo aglomerovaného korku, včetně podlahových krytin
- výrobu výrobků z proutí a podobných materiálů: podložek, rohoží, zástěn, kufrů (beden) atd.
- výrobu košíkářského zboží a proutěného (rákosového) pletiva
- výrobu palivového dřeva a pelet, z lisovaného dřeva nebo náhradních materiálů z kávového nebo sójového odpadu
- výrobu obrazových nebo zrcadlových rámů
- výrobu rámů pro malířská plátna
- výrobu dřevěných dílů obuvi (např. podpatků a kopyt)
- výrobu rukojetí k deštníkům, vycházkovým holím a podobně
- výrobu polotovarů pro výrobu tabákových dýmek","","N:
- výrobu podložek a rohoží z textilních materiálů (13.93)
- výrobu kufrů (15.12)
- výrobu dřevěné obuvi (15.20)
- výrobu zápalek (20.51)
- výrobu skříněk (pouzder) na hodiny (26.52)
- výrobu dřevěných vřeten, cívek a kotoučků které jsou součástí textilních strojů (28.94)
- výrobu nábytku (31.0)
- výrobu dřevěných hraček (32.40)
- výrobu kartáčů a košťat (32.91)
- výrobu truhel, rakví (32.99)
- výrobu korkových záchranných vest, pásů (32.99)","","1629","This class includes:
- manufacture of various wood products:
  • wooden handles and bodies for tools, brooms, brushes
  • wooden boot or shoe lasts and trees, clothes hangers
  • household utensils and kitchenware of wood
  • wooden statuettes and ornaments, wood marquetry, inlaid wood
  • wooden cases for jewellery, cutlery and similar articles
  • wooden spools, cops, bobbins, sewing thread reels and similar articles of turned wood
  • other articles of wood
- natural cork processing, manufacture of agglomerated cork
- manufacture of articles of natural or agglomerated cork, including floor coverings
- manufacture of plaits and products of plaiting materials: mats, matting, screens, cases etc.
- manufacture of basket-ware and wickerwork
- manufacture of fire logs and pellets for energy, made of pressed wood or substitute materials like coffee or soybean grounds
- manufacture of wooden mirror and picture frames
- manufacture of frames for artists' canvases
- manufacture of wooden shoe parts (e.g. heels and lasts)
- manufacture of handles for umbrellas, canes and similar
- manufacture of blocks for the manufacture of smoking pipes","","This class excludes:
- manufacture of mats or matting of textile materials, see 13.92
- manufacture of luggage, see 15.12
- manufacture of wooden footwear, see 15.20
- manufacture of matches, see 20.51
- manufacture of clock cases, see 26.52
- manufacture of wooden spools and bobbins that are part of textile machinery, see 28.94
- manufacture of furniture, see 31.0
- manufacture of wooden toys, see 32.40
- manufacture of brushes and brooms, see 32.91
- manufacture of coffins, see 32.99
- manufacture of cork life preservers, see 32.99"
